pos_rank,file,time
1,1834.txt,0 days 00:00:01.351305000
2,2224.txt,0 days 00:00:00.940680000
1,2036.txt,0 days 00:00:01.147566000
1,1927.txt,0 days 00:00:01.072564000
93,1873.txt,0 days 00:00:01.016156000
1,1883.txt,0 days 00:00:01.078901000
1,1634.txt,0 days 00:00:00.856644000
1,1941.txt,0 days 00:00:00.601200000
1,1591.txt,0 days 00:00:01.110451000
-1,1972.txt,0 days 00:00:01.140998000
88,1625.txt,0 days 00:00:00.501123000
1,1758.txt,0 days 00:00:00.340146000
1,1670.txt,0 days 00:00:00.567574000
1,1839.txt,0 days 00:00:01.241267000
1,1624.txt,0 days 00:00:01.050557000
1,1603.txt,0 days 00:00:01.121451000
1,1600.txt,0 days 00:00:00.785186000
1,1963.txt,0 days 00:00:00.604641000
1,1986.txt,0 days 00:00:00.923331000
1,1654.txt,0 days 00:00:00.690598000
178,2250.txt,0 days 00:00:00.857238000
1,1791.txt,0 days 00:00:00.637684000
1,1592.txt,0 days 00:00:00.710638000
1,2093.txt,0 days 00:00:00.877182000
1,1831.txt,0 days 00:00:01.043090000
1,1531.txt,0 days 00:00:01.050104000
1,2226.txt,0 days 00:00:00.994592000
-1,2041.txt,0 days 00:00:00.612324000
1,1966.txt,0 days 00:00:00.870359000
1,1595.txt,0 days 00:00:00.725042000
1,1717.txt,0 days 00:00:00.989210000
1,2076.txt,0 days 00:00:02.120990000
-1,1580.txt,0 days 00:00:00.488982000
1,1551.txt,0 days 00:00:01.227640000
1,1866.txt,0 days 00:00:01.200556000
1,2035.txt,0 days 00:00:00.665438000
1,1840.txt,0 days 00:00:01.026111000
1,1785.txt,0 days 00:00:00.285716000
1,2157.txt,0 days 00:00:01.444648000
1,2082.txt,0 days 00:00:00.913564000
1,1843.txt,0 days 00:00:00.410010000
23,2045.txt,0 days 00:00:00.417179000
1,1988.txt,0 days 00:00:01.102071000
110,1611.txt,0 days 00:00:00.617244000
1,2207.txt,0 days 00:00:00.780201000
1,1506.txt,0 days 00:00:00.404095000
1,1890.txt,0 days 00:00:00.957825000
21,1513.txt,0 days 00:00:00.905883000
