pos_rank,file,time
1,1834.txt,0 days 00:00:01.609578000
1,2224.txt,0 days 00:00:00.856102000
3,2036.txt,0 days 00:00:01.410178000
1,1927.txt,0 days 00:00:01.706132000
98,1873.txt,0 days 00:00:00.661397000
1,1883.txt,0 days 00:00:01.103107000
7,1634.txt,0 days 00:00:00.473328000
1,1941.txt,0 days 00:00:00.460121000
1,1591.txt,0 days 00:00:01.616188000
-1,1972.txt,0 days 00:00:01.170542000
5,1625.txt,0 days 00:00:00.196593000
1,1758.txt,0 days 00:00:00.187082000
1,1670.txt,0 days 00:00:00.408820000
1,1839.txt,0 days 00:00:01.626791000
1,1624.txt,0 days 00:00:00.761624000
1,1603.txt,0 days 00:00:00.973126000
1,1600.txt,0 days 00:00:00.966238000
26,1963.txt,0 days 00:00:00.346312000
1,1986.txt,0 days 00:00:01.247997000
1,1654.txt,0 days 00:00:00.887605000
-1,2250.txt,0 days 00:00:00.395108000
1,1791.txt,0 days 00:00:00.659330000
1,1592.txt,0 days 00:00:00.583167000
1,2093.txt,0 days 00:00:00.669945000
1,1831.txt,0 days 00:00:01.570687000
1,1531.txt,0 days 00:00:01.332390000
1,2226.txt,0 days 00:00:00.898140000
-1,2041.txt,0 days 00:00:00.476636000
1,1966.txt,0 days 00:00:00.533877000
1,1595.txt,0 days 00:00:00.964094000
1,1717.txt,0 days 00:00:00.846537000
13,2076.txt,0 days 00:00:02.357862000
241,1580.txt,0 days 00:00:00.143901000
1,1551.txt,0 days 00:00:01.668731000
1,1866.txt,0 days 00:00:01.630652000
4,2035.txt,0 days 00:00:00.451897000
-1,1840.txt,0 days 00:00:01.480878000
1,1785.txt,0 days 00:00:00.280766000
1,2157.txt,0 days 00:00:01.721325000
1,2082.txt,0 days 00:00:00.594509000
1,1843.txt,0 days 00:00:00.150134000
-1,2045.txt,0 days 00:00:00.247021000
1,1988.txt,0 days 00:00:01.576564000
-1,1611.txt,0 days 00:00:00.264568000
1,2207.txt,0 days 00:00:01.407417000
1,1506.txt,0 days 00:00:00.277993000
1,1890.txt,0 days 00:00:01.043501000
122,1513.txt,0 days 00:00:00.758707000
1,2186.txt,0 days 00:00:01.220098000
1,1867.txt,0 days 00:00:01.236658000
-1,1709.txt,0 days 00:00:00.037386000
-1,1575.txt,0 days 00:00:00.129545000
1,2154.txt,0 days 00:00:01.330452000
25,2055.txt,0 days 00:00:00.389794000
1,1837.txt,0 days 00:00:01.581408000
1,1701.txt,0 days 00:00:01.121596000
-1,1797.txt,0 days 00:00:00.109228000
1,1584.txt,0 days 00:00:00.680122000
1,2115.txt,0 days 00:00:01.348504000
22,1946.txt,0 days 00:00:00.474438000
1,2156.txt,0 days 00:00:01.998191000
1,1833.txt,0 days 00:00:01.616912000
8,1536.txt,0 days 00:00:01.540277000
-1,1968.txt,0 days 00:00:00.470676000
1,1535.txt,0 days 00:00:00.178959000
-1,1692.txt,0 days 00:00:00.612202000
-1,1619.txt,0 days 00:00:00.344731000
-1,1796.txt,0 days 00:00:00.157624000
1,2131.txt,0 days 00:00:00.890716000
2,1637.txt,0 days 00:00:00.244893000
2,1504.txt,0 days 00:00:00.855323000
1,1583.txt,0 days 00:00:00.592992000
1,1755.txt,0 days 00:00:00.129624000
1,1628.txt,0 days 00:00:01.054368000
-1,1708.txt,0 days 00:00:00.103116000
-1,1711.txt,0 days 00:00:01.021245000
1,1590.txt,0 days 00:00:00.305464000
-1,2195.txt,0 days 00:00:00.175852000
-1,1700.txt,0 days 00:00:00.272802000
-1,1762.txt,0 days 00:00:00.049438000
-1,2043.txt,0 days 00:00:00.459009000
1,2021.txt,0 days 00:00:02.515816000
-1,2080.txt,0 days 00:00:00.828726000
-1,2230.txt,0 days 00:00:00.254135000
41,2075.txt,0 days 00:00:01.185307000
1,1932.txt,0 days 00:00:00.833185000
-1,1514.txt,0 days 00:00:00.453358000
176,1714.txt,0 days 00:00:00.580537000
-1,2089.txt,0 days 00:00:00.187100000
1,1977.txt,0 days 00:00:00.573118000
212,2048.txt,0 days 00:00:00.140036000
-1,1695.txt,0 days 00:00:00.216761000
1,1752.txt,0 days 00:00:00.922231000
-1,1616.txt,0 days 00:00:00.306689000
3,2085.txt,0 days 00:00:00.274691000
3,1872.txt,0 days 00:00:00.699009000
20,2210.txt,0 days 00:00:01.086467000
1,1606.txt,0 days 00:00:00.641338000
1,1832.txt,0 days 00:00:01.138922000
-1,1697.txt,0 days 00:00:00.411390000
1,2208.txt,0 days 00:00:01.044182000
1,2116.txt,0 days 00:00:01.060514000
-1,1849.txt,0 days 00:00:00.380786000
-1,1807.txt,0 days 00:00:00.056422000
8,2077.txt,0 days 00:00:01.527219000
-1,1635.txt,0 days 00:00:00.063234000
10,1937.txt,0 days 00:00:01.088473000
-1,2042.txt,0 days 00:00:00.381853000
1,2032.txt,0 days 00:00:01.386779000
1,1861.txt,0 days 00:00:01.475987000
8,2050.txt,0 days 00:00:00.143568000
5,1876.txt,0 days 00:00:01.546623000
1,2159.txt,0 days 00:00:01.476291000
4,1865.txt,0 days 00:00:00.846955000
1,2182.txt,0 days 00:00:00.852279000
-1,2047.txt,0 days 00:00:00.151568000
2,1809.txt,0 days 00:00:00.220022000
-1,2247.txt,0 days 00:00:00.499189000
1,1870.txt,0 days 00:00:00.893269000
1,1971.txt,0 days 00:00:01.178502000
1,1699.txt,0 days 00:00:00.542262000
1,1922.txt,0 days 00:00:01.357466000
1,2167.txt,0 days 00:00:00.128011000
-1,1720.txt,0 days 00:00:00.534407000
-1,1802.txt,0 days 00:00:00.292991000
1,1888.txt,0 days 00:00:01.021863000
-1,1961.txt,0 days 00:00:00.199418000
1,1503.txt,0 days 00:00:00.360303000
-1,1587.txt,0 days 00:00:00.250976000
1,1577.txt,0 days 00:00:00.460122000
1,2066.txt,0 days 00:00:00.767665000
9,2073.txt,0 days 00:00:00.972785000
2,2132.txt,0 days 00:00:01.220113000
1,1655.txt,0 days 00:00:00.476828000
1,2160.txt,0 days 00:00:00.882544000
-1,1530.txt,0 days 00:00:00.254920000
1,1626.txt,0 days 00:00:01.056319000
1,1846.txt,0 days 00:00:01.598862000
1,1589.txt,0 days 00:00:00.672733000
1,1640.txt,0 days 00:00:00.149164000
1,1847.txt,0 days 00:00:00.312286000
20,2060.txt,0 days 00:00:00.297382000
1,2138.txt,0 days 00:00:00.642831000
1,2034.txt,0 days 00:00:01.585535000
5,1926.txt,0 days 00:00:01.226718000
1,1783.txt,0 days 00:00:01.020203000
1,2058.txt,0 days 00:00:00.494516000
-1,1965.txt,0 days 00:00:00.358890000
1,2028.txt,0 days 00:00:01.750401000
1,1924.txt,0 days 00:00:01.775205000
3,1601.txt,0 days 00:00:01.208628000
1,2185.txt,0 days 00:00:00.434211000
-1,1693.txt,0 days 00:00:00.407881000
1,1868.txt,0 days 00:00:01.338465000
-1,2198.txt,0 days 00:00:00.216033000
1,2241.txt,0 days 00:00:00.814153000
1,2163.txt,0 days 00:00:00.207841000
1,2249.txt,0 days 00:00:00.641758000
1,1930.txt,0 days 00:00:00.672790000
1,1885.txt,0 days 00:00:00.790252000
-1,1770.txt,0 days 00:00:00.035079000
1,2071.txt,0 days 00:00:01.436104000
1,1874.txt,0 days 00:00:00.679462000
1,1554.txt,0 days 00:00:01.525737000
32,2072.txt,0 days 00:00:00.709669000
1,1652.txt,0 days 00:00:01.187221000
1,1669.txt,0 days 00:00:00.526165000
1,2069.txt,0 days 00:00:00.530301000
1,2152.txt,0 days 00:00:01.251997000
-1,1768.txt,0 days 00:00:00.472588000
1,1713.txt,0 days 00:00:01.007026000
1,1593.txt,0 days 00:00:00.969922000
-1,2161.txt,0 days 00:00:00.031180000
69,1793.txt,0 days 00:00:00.563691000
1,2118.txt,0 days 00:00:01.733792000
-1,1766.txt,0 days 00:00:00.799609000
1,1781.txt,0 days 00:00:00.851835000
1,2162.txt,0 days 00:00:00.202279000
50,2074.txt,0 days 00:00:00.925814000
-1,2196.txt,0 days 00:00:00.069432000
1,1864.txt,0 days 00:00:01.555644000
-1,2164.txt,0 days 00:00:00.167926000
1,1540.txt,0 days 00:00:00.579659000
-1,2140.txt,0 days 00:00:00.060061000
34,1632.txt,0 days 00:00:00.205481000
1,1532.txt,0 days 00:00:00.437401000
17,2062.txt,0 days 00:00:00.528574000
5,1982.txt,0 days 00:00:01.041838000
1,1863.txt,0 days 00:00:01.667262000
1,1877.txt,0 days 00:00:01.270152000
1,2111.txt,0 days 00:00:01.222260000
1,2203.txt,0 days 00:00:00.723835000
-1,2168.txt,0 days 00:00:00.045451000
1,1658.txt,0 days 00:00:01.249016000
1,2133.txt,0 days 00:00:00.870247000
1,2044.txt,0 days 00:00:01.007214000
2,1662.txt,0 days 00:00:00.418770000
1,1934.txt,0 days 00:00:00.839005000
-1,2228.txt,0 days 00:00:00.810547000
-1,1528.txt,0 days 00:00:00.368559000
-1,1790.txt,0 days 00:00:00.421959000
1,1555.txt,0 days 00:00:00.867532000
-1,1539.txt,0 days 00:00:00.540515000
-1,1871.txt,0 days 00:00:01.590588000
8,1801.txt,0 days 00:00:00.529762000
-1,1576.txt,0 days 00:00:00.141380000
2,1759.txt,0 days 00:00:00.145693000
1,1511.txt,0 days 00:00:01.690408000
1,1512.txt,0 days 00:00:00.844182000
1,2053.txt,0 days 00:00:00.316037000
1,1836.txt,0 days 00:00:01.446457000
1,1537.txt,0 days 00:00:01.036113000
1,1869.txt,0 days 00:00:01.283705000
1,1806.txt,0 days 00:00:00.139759000
10,1558.txt,0 days 00:00:01.051686000
1,1663.txt,0 days 00:00:00.492159000
-1,1527.txt,0 days 00:00:00.265862000
-1,1526.txt,0 days 00:00:00.540969000
410,1769.txt,0 days 00:00:00.180626000
17,2139.txt,0 days 00:00:00.231055000
1,2091.txt,0 days 00:00:01.165409000
11,2070.txt,0 days 00:00:00.454145000
52,2056.txt,0 days 00:00:00.594014000
-1,1559.txt,0 days 00:00:00.859418000
1,2067.txt,0 days 00:00:00.930296000
1,1879.txt,0 days 00:00:00.980707000
1,1845.txt,0 days 00:00:00.219589000
1,1939.txt,0 days 00:00:00.421935000
-1,2037.txt,0 days 00:00:00.974885000
-1,1707.txt,0 days 00:00:00.055886000
1,1754.txt,0 days 00:00:00.434303000
1,1786.txt,0 days 00:00:01.255194000
1,1538.txt,0 days 00:00:00.800128000
1,1938.txt,0 days 00:00:01.208995000
1,1718.txt,0 days 00:00:01.037587000
10,1666.txt,0 days 00:00:00.736858000
1,1751.txt,0 days 00:00:00.759100000
-1,1698.txt,0 days 00:00:00.413645000
3,2225.txt,0 days 00:00:00.384234000
415,1850.txt,0 days 00:00:00.374793000
1,1585.txt,0 days 00:00:00.386774000
75,1702.txt,0 days 00:00:00.807209000
1,1842.txt,0 days 00:00:00.446983000
-1,2170.txt,0 days 00:00:00.034706000
28,1602.txt,0 days 00:00:00.897345000
1,1661.txt,0 days 00:00:00.635374000
-1,2100.txt,0 days 00:00:00.372809000
1,1923.txt,0 days 00:00:02.095202000
1,1657.txt,0 days 00:00:00.910567000
1,1552.txt,0 days 00:00:01.408717000
1,1838.txt,0 days 00:00:01.524936000
-1,1615.txt,0 days 00:00:00.365022000
1,1597.txt,0 days 00:00:00.990307000
1,1598.txt,0 days 00:00:01.122053000
41,1618.txt,0 days 00:00:00.422836000
1,2151.txt,0 days 00:00:01.010112000
2,2191.txt,0 days 00:00:00.857155000
2,2097.txt,0 days 00:00:00.796309000
1,2135.txt,0 days 00:00:00.116347000
233,1967.txt,0 days 00:00:00.505471000
1,2246.txt,0 days 00:00:00.998504000
1,2158.txt,0 days 00:00:01.494876000
1,1604.txt,0 days 00:00:00.898271000
1,1613.txt,0 days 00:00:00.609489000
1,1716.txt,0 days 00:00:00.819367000
1,2209.txt,0 days 00:00:01.187301000
1,2038.txt,0 days 00:00:00.974167000
-1,2165.txt,0 days 00:00:00.027908000
1,1622.txt,0 days 00:00:00.827043000
1,1594.txt,0 days 00:00:00.953427000
1,1989.txt,0 days 00:00:01.386764000
-1,1633.txt,0 days 00:00:00.107743000
-1,1502.txt,0 days 00:00:00.246237000
3,1571.txt,0 days 00:00:00.240615000
1,1945.txt,0 days 00:00:00.725542000
2,1792.txt,0 days 00:00:00.562517000
12,2169.txt,0 days 00:00:00.069395000
447,1764.txt,0 days 00:00:00.351225000
1,2190.txt,0 days 00:00:00.549581000
-1,1520.txt,0 days 00:00:01.038572000
-1,2200.txt,0 days 00:00:00.143874000
43,1942.txt,0 days 00:00:00.939827000
1,2099.txt,0 days 00:00:01.050405000
-1,1765.txt,0 days 00:00:00.085160000
1,1660.txt,0 days 00:00:00.505483000
1,1605.txt,0 days 00:00:00.753407000
1,2040.txt,0 days 00:00:00.906493000
-1,2079.txt,0 days 00:00:01.348104000
58,1556.txt,0 days 00:00:00.892822000
-1,2245.txt,0 days 00:00:00.995717000
-1,1880.txt,0 days 00:00:00.918351000
14,2120.txt,0 days 00:00:00.622130000
1,1581.txt,0 days 00:00:00.843519000
1,1921.txt,0 days 00:00:01.847657000
11,2031.txt,0 days 00:00:00.954818000
1,1630.txt,0 days 00:00:00.450139000
1,2114.txt,0 days 00:00:01.638369000
1,1981.txt,0 days 00:00:01.277312000
-1,2090.txt,0 days 00:00:00.314224000
1,2054.txt,0 days 00:00:00.211200000
1,1534.txt,0 days 00:00:00.979866000
1,1882.txt,0 days 00:00:01.038878000
6,2134.txt,0 days 00:00:00.194910000
3,1665.txt,0 days 00:00:00.283311000
1,2184.txt,0 days 00:00:00.779453000
1,1878.txt,0 days 00:00:00.518431000
1,1586.txt,0 days 00:00:00.575093000
1,1757.txt,0 days 00:00:00.294947000
1,1617.txt,0 days 00:00:00.221171000
77,2223.txt,0 days 00:00:00.533001000
1,1875.txt,0 days 00:00:01.046417000
1,2098.txt,0 days 00:00:00.892612000
1,2113.txt,0 days 00:00:01.726948000
1,1753.txt,0 days 00:00:00.412368000
1,1884.txt,0 days 00:00:00.748835000
-1,1510.txt,0 days 00:00:00.185720000
-1,1521.txt,0 days 00:00:01.433893000
1,1984.txt,0 days 00:00:01.341435000
1,1507.txt,0 days 00:00:00.299930000
1,2188.txt,0 days 00:00:00.955476000
-1,2227.txt,0 days 00:00:00.422477000
1,1881.txt,0 days 00:00:01.071272000
1,1788.txt,0 days 00:00:00.833170000
-1,1761.txt,0 days 00:00:00.166169000
1,2189.txt,0 days 00:00:00.851839000
1,1572.txt,0 days 00:00:00.591330000
1,1519.txt,0 days 00:00:01.262383000
-1,1705.txt,0 days 00:00:00.411679000
1,1973.txt,0 days 00:00:00.509153000
1,1947.txt,0 days 00:00:00.907892000
1,2027.txt,0 days 00:00:01.484922000
1,2039.txt,0 days 00:00:01.009098000
1,2166.txt,0 days 00:00:00.641668000
267,1560.txt,0 days 00:00:00.540320000
-1,1573.txt,0 days 00:00:00.386003000
40,2046.txt,0 days 00:00:00.521256000
1,2064.txt,0 days 00:00:00.833650000
1,1501.txt,0 days 00:00:00.613741000
1,2153.txt,0 days 00:00:01.722751000
1,2029.txt,0 days 00:00:01.881065000
-1,1805.txt,0 days 00:00:00.013684000
1,1928.txt,0 days 00:00:02.029477000
2,2094.txt,0 days 00:00:01.053612000
1,2137.txt,0 days 00:00:00.306912000
1,1629.txt,0 days 00:00:00.598885000
1,1599.txt,0 days 00:00:00.744863000
1,2033.txt,0 days 00:00:00.828021000
1,1787.txt,0 days 00:00:00.701119000
1,1975.txt,0 days 00:00:00.560556000
1,2206.txt,0 days 00:00:01.468373000
-1,1715.txt,0 days 00:00:00.423147000
333,1719.txt,0 days 00:00:00.668194000
7,1935.txt,0 days 00:00:00.741176000
1,2081.txt,0 days 00:00:00.813632000
1,1636.txt,0 days 00:00:00.505695000
1,1620.txt,0 days 00:00:00.057113000
1,1656.txt,0 days 00:00:01.385844000
-1,1706.txt,0 days 00:00:00.267125000
1,1664.txt,0 days 00:00:00.372141000
13,1612.txt,0 days 00:00:00.241955000
18,1964.txt,0 days 00:00:00.214027000
1,1712.txt,0 days 00:00:00.838682000
1,2201.txt,0 days 00:00:01.502089000
1,2205.txt,0 days 00:00:01.284660000
-1,1804.txt,0 days 00:00:00.111502000
-1,2229.txt,0 days 00:00:00.156015000
1,2204.txt,0 days 00:00:00.649325000
1,1943.txt,0 days 00:00:00.879553000
37,2193.txt,0 days 00:00:00.818666000
1,1949.txt,0 days 00:00:00.916549000
1,1936.txt,0 days 00:00:01.004644000
1,1974.txt,0 days 00:00:01.214852000
1,1596.txt,0 days 00:00:01.650845000
1,1889.txt,0 days 00:00:01.191977000
1,1756.txt,0 days 00:00:00.768817000
38,2119.txt,0 days 00:00:00.628636000
1,1588.txt,0 days 00:00:00.648081000
1,1557.txt,0 days 00:00:00.993470000
1,2112.txt,0 days 00:00:01.624806000
1,1522.txt,0 days 00:00:00.861166000
-1,1574.txt,0 days 00:00:00.318137000
1,2063.txt,0 days 00:00:01.019300000
1,1983.txt,0 days 00:00:01.675194000
-1,1970.txt,0 days 00:00:00.313454000
1,1798.txt,0 days 00:00:00.323101000
1,2026.txt,0 days 00:00:01.642376000
1,2051.txt,0 days 00:00:00.860435000
-1,2057.txt,0 days 00:00:00.299616000
1,2092.txt,0 days 00:00:00.922336000
1,2087.txt,0 days 00:00:00.280391000
2,1808.txt,0 days 00:00:00.173338000
-1,1763.txt,0 days 00:00:00.023424000
1,1985.txt,0 days 00:00:00.739920000
1,1799.txt,0 days 00:00:00.449951000
1,1505.txt,0 days 00:00:00.332493000
1,2117.txt,0 days 00:00:01.498038000
1,1533.txt,0 days 00:00:00.646428000
1,2061.txt,0 days 00:00:00.670002000
5,1784.txt,0 days 00:00:00.238447000
-1,1694.txt,0 days 00:00:00.129459000
1,1886.txt,0 days 00:00:01.193103000
13,1579.txt,0 days 00:00:00.155441000
85,1691.txt,0 days 00:00:00.472210000
1,1614.txt,0 days 00:00:00.419509000
1,1516.txt,0 days 00:00:01.625870000
1,1969.txt,0 days 00:00:00.556627000
1,2068.txt,0 days 00:00:00.799818000
1,2244.txt,0 days 00:00:01.286927000
1,1627.txt,0 days 00:00:01.030544000
1,2023.txt,0 days 00:00:01.588336000
1,1631.txt,0 days 00:00:00.238227000
1,1925.txt,0 days 00:00:01.132343000
-1,1760.txt,0 days 00:00:00.078621000
-1,2199.txt,0 days 00:00:00.045519000
1,1659.txt,0 days 00:00:00.889340000
1,1929.txt,0 days 00:00:02.043820000
1,1607.txt,0 days 00:00:00.836126000
1,2221.txt,0 days 00:00:00.560116000
1,1609.txt,0 days 00:00:00.886098000
1,2248.txt,0 days 00:00:00.264941000
1,1844.txt,0 days 00:00:00.552820000
1,1978.txt,0 days 00:00:01.107811000
1,1782.txt,0 days 00:00:00.862832000
2,2222.txt,0 days 00:00:00.819345000
1,1933.txt,0 days 00:00:00.838675000
-1,2078.txt,0 days 00:00:01.358878000
-1,1810.txt,0 days 00:00:00.088678000
1,2242.txt,0 days 00:00:00.790863000
-1,1800.txt,0 days 00:00:00.235478000
1,1518.txt,0 days 00:00:01.761184000
1,1789.txt,0 days 00:00:00.399378000
38,1703.txt,0 days 00:00:00.506012000
-1,1710.txt,0 days 00:00:00.096965000
1,2194.txt,0 days 00:00:00.393791000
1,1794.txt,0 days 00:00:00.745845000
1,2243.txt,0 days 00:00:00.967171000
1,1841.txt,0 days 00:00:00.770907000
1,1582.txt,0 days 00:00:00.632261000
1,1553.txt,0 days 00:00:01.346260000
1,2025.txt,0 days 00:00:01.398672000
1,1987.txt,0 days 00:00:01.484107000
1,2181.txt,0 days 00:00:01.439090000
-1,1529.txt,0 days 00:00:00.330673000
1,1667.txt,0 days 00:00:00.457571000
1,1887.txt,0 days 00:00:00.811949000
1,2183.txt,0 days 00:00:01.278372000
37,1525.txt,0 days 00:00:00.621827000
3,1976.txt,0 days 00:00:01.359477000
8,1696.txt,0 days 00:00:00.703407000
2,1950.txt,0 days 00:00:00.558308000
-1,2197.txt,0 days 00:00:00.229025000
1,2052.txt,0 days 00:00:00.326068000
2,1704.txt,0 days 00:00:00.541152000
1,2024.txt,0 days 00:00:01.638596000
1,1621.txt,0 days 00:00:01.567649000
1,2192.txt,0 days 00:00:00.803678000
1,1608.txt,0 days 00:00:01.244016000
-1,1524.txt,0 days 00:00:01.384539000
-1,2049.txt,0 days 00:00:00.340265000
-1,1940.txt,0 days 00:00:00.297237000
1,2155.txt,0 days 00:00:00.927564000
1,2086.txt,0 days 00:00:00.820456000
1,1639.txt,0 days 00:00:00.104302000
1,2136.txt,0 days 00:00:00.574137000
1,1848.txt,0 days 00:00:00.858355000
-1,1962.txt,0 days 00:00:00.267481000
1,2084.txt,0 days 00:00:00.934153000
4,1979.txt,0 days 00:00:00.941324000
-1,1515.txt,0 days 00:00:00.564963000
1,1517.txt,0 days 00:00:00.700039000
1,1835.txt,0 days 00:00:01.198905000
1,1948.txt,0 days 00:00:00.856827000
1,2083.txt,0 days 00:00:00.146023000
2,1651.txt,0 days 00:00:00.763800000
1,1623.txt,0 days 00:00:00.905456000
19,2095.txt,0 days 00:00:00.390317000
1,1653.txt,0 days 00:00:01.304363000
