pos_rank,file,time
1,1834.txt,0 days 00:00:02.018855000
5,2224.txt,0 days 00:00:01.563221000
1,2036.txt,0 days 00:00:01.667000000
1,1927.txt,0 days 00:00:01.392732000
15,1873.txt,0 days 00:00:01.981218000
1,1883.txt,0 days 00:00:01.614841000
1,1634.txt,0 days 00:00:01.381510000
1,1941.txt,0 days 00:00:00.859175000
1,1591.txt,0 days 00:00:01.533146000
351,1972.txt,0 days 00:00:01.880757000
3,1625.txt,0 days 00:00:00.665207000
1,1758.txt,0 days 00:00:00.933705000
1,1670.txt,0 days 00:00:01.050644000
1,1839.txt,0 days 00:00:01.876544000
1,1624.txt,0 days 00:00:01.346581000
1,1603.txt,0 days 00:00:01.934311000
1,1600.txt,0 days 00:00:01.153106000
1,1963.txt,0 days 00:00:01.614353000
1,1986.txt,0 days 00:00:01.333089000
1,1654.txt,0 days 00:00:01.080960000
22,2250.txt,0 days 00:00:01.326803000
1,1791.txt,0 days 00:00:01.071264000
1,1592.txt,0 days 00:00:01.082814000
1,2093.txt,0 days 00:00:01.254577000
1,1831.txt,0 days 00:00:01.571998000
1,1531.txt,0 days 00:00:01.489133000
1,2226.txt,0 days 00:00:01.523998000
4,2041.txt,0 days 00:00:00.960707000
1,1966.txt,0 days 00:00:01.465071000
1,1595.txt,0 days 00:00:01.013133000
1,1717.txt,0 days 00:00:01.975174000
1,2076.txt,0 days 00:00:02.995953000
1,1580.txt,0 days 00:00:00.763576000
1,1551.txt,0 days 00:00:02.069264000
1,1866.txt,0 days 00:00:01.801689000
1,2035.txt,0 days 00:00:01.241071000
1,1840.txt,0 days 00:00:01.635682000
1,1785.txt,0 days 00:00:00.419421000
1,2157.txt,0 days 00:00:02.158867000
1,2082.txt,0 days 00:00:01.185570000
1,1843.txt,0 days 00:00:00.554935000
-1,2045.txt,0 days 00:00:00.588169000
1,1988.txt,0 days 00:00:01.476091000
360,1611.txt,0 days 00:00:02.257620000
1,2207.txt,0 days 00:00:01.113605000
1,1506.txt,0 days 00:00:00.543474000
1,1890.txt,0 days 00:00:01.370612000
31,1513.txt,0 days 00:00:01.584400000
1,2186.txt,0 days 00:00:01.377863000
1,1867.txt,0 days 00:00:01.042886000
-1,1709.txt,0 days 00:00:00.829867000
8,1575.txt,0 days 00:00:00.542795000
1,2154.txt,0 days 00:00:02.429441000
1,2055.txt,0 days 00:00:00.662292000
1,1837.txt,0 days 00:00:02.163321000
1,1701.txt,0 days 00:00:01.503944000
13,1797.txt,0 days 00:00:00.786965000
1,1584.txt,0 days 00:00:01.114228000
1,2115.txt,0 days 00:00:01.278366000
1,1946.txt,0 days 00:00:01.241575000
1,2156.txt,0 days 00:00:01.769403000
1,1833.txt,0 days 00:00:01.730545000
4,1536.txt,0 days 00:00:01.695677000
-1,1968.txt,0 days 00:00:01.622422000
1,1535.txt,0 days 00:00:00.933580000
381,1692.txt,0 days 00:00:01.699787000
268,1619.txt,0 days 00:00:01.877190000
1,1796.txt,0 days 00:00:01.150226000
1,2131.txt,0 days 00:00:01.566257000
1,1637.txt,0 days 00:00:01.022891000
1,1504.txt,0 days 00:00:01.431104000
1,1583.txt,0 days 00:00:01.444331000
40,1755.txt,0 days 00:00:01.263006000
1,1628.txt,0 days 00:00:01.174089000
-1,1708.txt,0 days 00:00:00.790679000
1,1711.txt,0 days 00:00:02.112646000
1,1590.txt,0 days 00:00:00.399412000
3,2195.txt,0 days 00:00:00.576942000
-1,1700.txt,0 days 00:00:01.142098000
176,1762.txt,0 days 00:00:01.739159000
325,2043.txt,0 days 00:00:01.526290000
1,2021.txt,0 days 00:00:02.113788000
26,2080.txt,0 days 00:00:01.806822000
310,2230.txt,0 days 00:00:01.443463000
8,2075.txt,0 days 00:00:01.647180000
1,1932.txt,0 days 00:00:01.966811000
152,1514.txt,0 days 00:00:01.462648000
1,1714.txt,0 days 00:00:01.364772000
54,2089.txt,0 days 00:00:01.165591000
1,1977.txt,0 days 00:00:01.459197000
1,2048.txt,0 days 00:00:00.778085000
161,1695.txt,0 days 00:00:01.263686000
1,1752.txt,0 days 00:00:01.514267000
35,1616.txt,0 days 00:00:02.137895000
1,2085.txt,0 days 00:00:00.941320000
59,1872.txt,0 days 00:00:01.979246000
1,2210.txt,0 days 00:00:00.999905000
2,1606.txt,0 days 00:00:01.093106000
1,1832.txt,0 days 00:00:01.861720000
1,1697.txt,0 days 00:00:01.268938000
1,2208.txt,0 days 00:00:00.928048000
1,2116.txt,0 days 00:00:01.124765000
1,1849.txt,0 days 00:00:00.598936000
25,1807.txt,0 days 00:00:00.444244000
1,2077.txt,0 days 00:00:02.636636000
-1,1635.txt,0 days 00:00:00.607723000
1,1937.txt,0 days 00:00:02.178778000
7,2042.txt,0 days 00:00:01.002280000
1,2032.txt,0 days 00:00:01.887308000
1,1861.txt,0 days 00:00:01.394661000
18,2050.txt,0 days 00:00:00.416491000
1,1876.txt,0 days 00:00:02.453207000
1,2159.txt,0 days 00:00:01.729350000
1,1865.txt,0 days 00:00:00.977835000
1,2182.txt,0 days 00:00:01.104669000
-1,2047.txt,0 days 00:00:00.738956000
2,1809.txt,0 days 00:00:00.634480000
49,2247.txt,0 days 00:00:01.558666000
1,1870.txt,0 days 00:00:01.577231000
22,1971.txt,0 days 00:00:01.778369000
1,1699.txt,0 days 00:00:01.461719000
1,1922.txt,0 days 00:00:01.193002000
2,2167.txt,0 days 00:00:00.465360000
355,1720.txt,0 days 00:00:01.628571000
41,1802.txt,0 days 00:00:00.750931000
1,1888.txt,0 days 00:00:01.442213000
124,1961.txt,0 days 00:00:01.550088000
2,1503.txt,0 days 00:00:00.806816000
1,1587.txt,0 days 00:00:00.598870000
1,1577.txt,0 days 00:00:00.797495000
1,2066.txt,0 days 00:00:00.891375000
1,2073.txt,0 days 00:00:01.874375000
2,2132.txt,0 days 00:00:02.491462000
1,1655.txt,0 days 00:00:00.784916000
1,2160.txt,0 days 00:00:01.352935000
-1,1530.txt,0 days 00:00:00.841032000
3,1626.txt,0 days 00:00:01.891113000
1,1846.txt,0 days 00:00:01.424545000
