pos_rank,file,time
1,1834.txt,0 days 00:00:00.770111000
1,2224.txt,0 days 00:00:00.410390000
17,2036.txt,0 days 00:00:00.680226000
1,1927.txt,0 days 00:00:00.787372000
-1,1873.txt,0 days 00:00:00.297018000
1,1883.txt,0 days 00:00:00.519144000
5,1634.txt,0 days 00:00:00.226473000
1,1941.txt,0 days 00:00:00.207333000
1,1591.txt,0 days 00:00:00.751704000
-1,1972.txt,0 days 00:00:00.551230000
45,1625.txt,0 days 00:00:00.093947000
1,1758.txt,0 days 00:00:00.088641000
1,1670.txt,0 days 00:00:00.201140000
1,1839.txt,0 days 00:00:00.720732000
1,1624.txt,0 days 00:00:00.343184000
1,1603.txt,0 days 00:00:00.443988000
1,1600.txt,0 days 00:00:00.420344000
18,1963.txt,0 days 00:00:00.148210000
1,1986.txt,0 days 00:00:00.580987000
1,1654.txt,0 days 00:00:00.386709000
-1,2250.txt,0 days 00:00:00.181842000
3,1791.txt,0 days 00:00:00.311960000
1,1592.txt,0 days 00:00:00.266557000
1,2093.txt,0 days 00:00:00.307534000
1,1831.txt,0 days 00:00:00.688034000
1,1531.txt,0 days 00:00:00.608231000
1,2226.txt,0 days 00:00:00.408774000
20,2041.txt,0 days 00:00:00.213768000
1,1966.txt,0 days 00:00:00.230440000
1,1595.txt,0 days 00:00:00.441302000
1,1717.txt,0 days 00:00:00.397974000
44,2076.txt,0 days 00:00:00.994209000
183,1580.txt,0 days 00:00:00.064977000
1,1551.txt,0 days 00:00:00.750892000
1,1866.txt,0 days 00:00:00.747013000
9,2035.txt,0 days 00:00:00.210058000
-1,1840.txt,0 days 00:00:00.634261000
1,1785.txt,0 days 00:00:00.130504000
1,2157.txt,0 days 00:00:00.760726000
2,2082.txt,0 days 00:00:00.275985000
1,1843.txt,0 days 00:00:00.075372000
5,2045.txt,0 days 00:00:00.106327000
1,1988.txt,0 days 00:00:00.727867000
-1,1611.txt,0 days 00:00:00.129157000
1,2207.txt,0 days 00:00:00.616042000
1,1506.txt,0 days 00:00:00.127228000
1,1890.txt,0 days 00:00:00.461359000
78,1513.txt,0 days 00:00:00.356067000
1,2186.txt,0 days 00:00:00.558447000
1,1867.txt,0 days 00:00:00.555324000
-1,1709.txt,0 days 00:00:00.016899000
-1,1575.txt,0 days 00:00:00.050854000
1,2154.txt,0 days 00:00:00.601200000
4,2055.txt,0 days 00:00:00.168922000
1,1837.txt,0 days 00:00:00.712971000
1,1701.txt,0 days 00:00:00.507866000
19,1797.txt,0 days 00:00:00.058771000
1,1584.txt,0 days 00:00:00.310916000
1,2115.txt,0 days 00:00:00.588465000
10,1946.txt,0 days 00:00:00.223375000
1,2156.txt,0 days 00:00:00.899587000
1,1833.txt,0 days 00:00:00.711113000
87,1536.txt,0 days 00:00:00.688538000
-1,1968.txt,0 days 00:00:00.218189000
6,1535.txt,0 days 00:00:00.089122000
-1,1692.txt,0 days 00:00:00.285951000
-1,1619.txt,0 days 00:00:00.153488000
-1,1796.txt,0 days 00:00:00.068985000
1,2131.txt,0 days 00:00:00.416172000
6,1637.txt,0 days 00:00:00.114860000
1,1504.txt,0 days 00:00:00.412397000
1,1583.txt,0 days 00:00:00.290642000
1,1755.txt,0 days 00:00:00.053929000
1,1628.txt,0 days 00:00:00.483821000
-1,1708.txt,0 days 00:00:00.039201000
-1,1711.txt,0 days 00:00:00.473703000
2,1590.txt,0 days 00:00:00.142537000
-1,2195.txt,0 days 00:00:00.075745000
-1,1700.txt,0 days 00:00:00.124815000
-1,1762.txt,0 days 00:00:00.028565000
-1,2043.txt,0 days 00:00:00.219849000
