pos_rank,file,time
1,1834.txt,0 days 00:00:00.456572000
2,2224.txt,0 days 00:00:00.312620000
1,2036.txt,0 days 00:00:00.387343000
1,1927.txt,0 days 00:00:00.353793000
86,1873.txt,0 days 00:00:00.318045000
1,1883.txt,0 days 00:00:00.374346000
1,1634.txt,0 days 00:00:00.284132000
2,1941.txt,0 days 00:00:00.205014000
1,1591.txt,0 days 00:00:00.382976000
-1,1972.txt,0 days 00:00:00.388447000
1,1625.txt,0 days 00:00:00.168847000
1,1758.txt,0 days 00:00:00.126514000
1,1670.txt,0 days 00:00:00.205310000
1,1839.txt,0 days 00:00:00.415524000
1,1624.txt,0 days 00:00:00.339666000
1,1603.txt,0 days 00:00:00.373694000
1,1600.txt,0 days 00:00:00.254037000
1,1963.txt,0 days 00:00:00.205013000
1,1986.txt,0 days 00:00:00.330989000
1,1654.txt,0 days 00:00:00.224336000
235,2250.txt,0 days 00:00:00.273115000
1,1791.txt,0 days 00:00:00.225527000
1,1592.txt,0 days 00:00:00.253966000
1,2093.txt,0 days 00:00:00.303651000
1,1831.txt,0 days 00:00:00.362402000
1,1531.txt,0 days 00:00:00.354112000
1,2226.txt,0 days 00:00:00.334005000
-1,2041.txt,0 days 00:00:00.209387000
1,1966.txt,0 days 00:00:00.292450000
1,1595.txt,0 days 00:00:00.248606000
1,1717.txt,0 days 00:00:00.343313000
2,2076.txt,0 days 00:00:00.629948000
49,1580.txt,0 days 00:00:00.177725000
1,1551.txt,0 days 00:00:00.414860000
1,1866.txt,0 days 00:00:00.398959000
1,2035.txt,0 days 00:00:00.238296000
1,1840.txt,0 days 00:00:00.341120000
1,1785.txt,0 days 00:00:00.102590000
1,2157.txt,0 days 00:00:00.492142000
1,2082.txt,0 days 00:00:00.291889000
1,1843.txt,0 days 00:00:00.143663000
36,2045.txt,0 days 00:00:00.161168000
1,1988.txt,0 days 00:00:00.371478000
354,1611.txt,0 days 00:00:00.250207000
1,2207.txt,0 days 00:00:00.276881000
1,1506.txt,0 days 00:00:00.136576000
1,1890.txt,0 days 00:00:00.313634000
13,1513.txt,0 days 00:00:00.328931000
1,2186.txt,0 days 00:00:00.379624000
1,1867.txt,0 days 00:00:00.236664000
-1,1709.txt,0 days 00:00:00.137892000
87,1575.txt,0 days 00:00:00.141031000
1,2154.txt,0 days 00:00:00.420599000
4,2055.txt,0 days 00:00:00.158499000
1,1837.txt,0 days 00:00:00.449762000
1,1701.txt,0 days 00:00:00.361293000
1,1797.txt,0 days 00:00:00.153658000
1,1584.txt,0 days 00:00:00.293051000
1,2115.txt,0 days 00:00:00.285962000
1,1946.txt,0 days 00:00:00.255504000
1,2156.txt,0 days 00:00:00.423514000
1,1833.txt,0 days 00:00:00.395841000
-1,1536.txt,0 days 00:00:00.404858000
30,1968.txt,0 days 00:00:00.297000000
8,1535.txt,0 days 00:00:00.156440000
-1,1692.txt,0 days 00:00:00.305685000
189,1619.txt,0 days 00:00:00.217062000
1,1796.txt,0 days 00:00:00.252959000
1,2131.txt,0 days 00:00:00.319039000
1,1637.txt,0 days 00:00:00.191036000
1,1504.txt,0 days 00:00:00.370635000
1,1583.txt,0 days 00:00:00.361377000
1,1755.txt,0 days 00:00:00.167700000
1,1628.txt,0 days 00:00:00.282053000
-1,1708.txt,0 days 00:00:00.121402000
1,1711.txt,0 days 00:00:00.445888000
1,1590.txt,0 days 00:00:00.115920000
104,2195.txt,0 days 00:00:00.166102000
215,1700.txt,0 days 00:00:00.230076000
-1,1762.txt,0 days 00:00:00.220827000
-1,2043.txt,0 days 00:00:00.210455000
1,2021.txt,0 days 00:00:00.518460000
-1,2080.txt,0 days 00:00:00.343979000
113,2230.txt,0 days 00:00:00.256436000
115,2075.txt,0 days 00:00:00.353134000
1,1932.txt,0 days 00:00:00.436167000
141,1514.txt,0 days 00:00:00.333312000
1,1714.txt,0 days 00:00:00.249214000
183,2089.txt,0 days 00:00:00.288742000
1,1977.txt,0 days 00:00:00.302251000
99,2048.txt,0 days 00:00:00.157255000
176,1695.txt,0 days 00:00:00.266947000
1,1752.txt,0 days 00:00:00.330392000
-1,1616.txt,0 days 00:00:00.334954000
1,2085.txt,0 days 00:00:00.257136000
282,1872.txt,0 days 00:00:00.380949000
1,2210.txt,0 days 00:00:00.248994000
4,1606.txt,0 days 00:00:00.273491000
1,1832.txt,0 days 00:00:00.404602000
18,1697.txt,0 days 00:00:00.243465000
1,2208.txt,0 days 00:00:00.247925000
1,2116.txt,0 days 00:00:00.305157000
49,1849.txt,0 days 00:00:00.162526000
-1,1807.txt,0 days 00:00:00.130908000
2,2077.txt,0 days 00:00:00.554103000
142,1635.txt,0 days 00:00:00.088503000
1,1937.txt,0 days 00:00:00.467652000
111,2042.txt,0 days 00:00:00.183505000
1,2032.txt,0 days 00:00:00.356868000
1,1861.txt,0 days 00:00:00.299368000
3,2050.txt,0 days 00:00:00.070787000
1,1876.txt,0 days 00:00:00.482922000
1,2159.txt,0 days 00:00:00.360095000
1,1865.txt,0 days 00:00:00.240686000
1,2182.txt,0 days 00:00:00.270515000
-1,2047.txt,0 days 00:00:00.078845000
136,1809.txt,0 days 00:00:00.154726000
15,2247.txt,0 days 00:00:00.384073000
1,1870.txt,0 days 00:00:00.332704000
1,1971.txt,0 days 00:00:00.424337000
2,1699.txt,0 days 00:00:00.287077000
1,1922.txt,0 days 00:00:00.277395000
7,2167.txt,0 days 00:00:00.123140000
411,1720.txt,0 days 00:00:00.327487000
177,1802.txt,0 days 00:00:00.154255000
1,1888.txt,0 days 00:00:00.316827000
19,1961.txt,0 days 00:00:00.199164000
1,1503.txt,0 days 00:00:00.209333000
4,1587.txt,0 days 00:00:00.149809000
1,1577.txt,0 days 00:00:00.142156000
9,2066.txt,0 days 00:00:00.203070000
1,2073.txt,0 days 00:00:00.416716000
1,2132.txt,0 days 00:00:00.339729000
1,1655.txt,0 days 00:00:00.183084000
1,2160.txt,0 days 00:00:00.292685000
-1,1530.txt,0 days 00:00:00.199576000
3,1626.txt,0 days 00:00:00.464400000
1,1846.txt,0 days 00:00:00.367110000
1,1589.txt,0 days 00:00:00.179188000
9,1640.txt,0 days 00:00:00.120400000
1,1847.txt,0 days 00:00:00.113193000
1,2060.txt,0 days 00:00:00.102516000
1,2138.txt,0 days 00:00:00.341354000
1,2034.txt,0 days 00:00:00.332240000
1,1926.txt,0 days 00:00:00.262839000
1,1783.txt,0 days 00:00:00.274850000
1,2058.txt,0 days 00:00:00.196710000
1,1965.txt,0 days 00:00:00.171896000
1,2028.txt,0 days 00:00:00.419968000
1,1924.txt,0 days 00:00:00.369758000
1,1601.txt,0 days 00:00:00.347820000
1,2185.txt,0 days 00:00:00.201025000
-1,1693.txt,0 days 00:00:00.357057000
1,1868.txt,0 days 00:00:00.314588000
62,2198.txt,0 days 00:00:00.168552000
