pos_rank,file,time
1,1834.txt,0 days 00:00:14.723260000
1,2224.txt,0 days 00:00:13.450128000
1,2036.txt,0 days 00:00:11.966532000
1,1927.txt,0 days 00:00:10.059608000
1,1873.txt,0 days 00:00:18.401446000
1,1883.txt,0 days 00:00:17.459436000
1,1634.txt,0 days 00:00:14.537363000
1,1941.txt,0 days 00:00:09.962219000
1,1591.txt,0 days 00:00:10.577025000
223,1972.txt,0 days 00:00:15.836272000
1,1625.txt,0 days 00:00:10.826478000
1,1758.txt,0 days 00:00:11.494726000
1,1670.txt,0 days 00:00:09.148216000
1,1839.txt,0 days 00:00:13.659198000
1,1624.txt,0 days 00:00:15.392832000
1,1603.txt,0 days 00:00:16.183530000
1,1600.txt,0 days 00:00:09.291981000
1,1963.txt,0 days 00:00:13.942714000
1,1986.txt,0 days 00:00:08.654622000
1,1654.txt,0 days 00:00:07.335954000
249,2250.txt,0 days 00:00:20.993546000
1,1791.txt,0 days 00:00:06.801910000
1,1592.txt,0 days 00:00:10.451377000
1,2093.txt,0 days 00:00:14.618224000
1,1831.txt,0 days 00:00:10.747214000
1,1531.txt,0 days 00:00:10.199927000
1,2226.txt,0 days 00:00:11.573508000
110,2041.txt,0 days 00:00:10.040311000
1,1966.txt,0 days 00:00:11.923099000
1,1595.txt,0 days 00:00:07.939700000
1,1717.txt,0 days 00:00:20.105100000
1,2076.txt,0 days 00:00:25.521375000
40,1580.txt,0 days 00:00:07.531326000
1,1551.txt,0 days 00:00:17.547745000
1,1866.txt,0 days 00:00:11.907653000
1,2035.txt,0 days 00:00:09.903321000
1,1840.txt,0 days 00:00:11.150490000
1,1785.txt,0 days 00:00:03.933255000
1,2157.txt,0 days 00:00:16.834610000
1,2082.txt,0 days 00:00:14.085378000
1,1843.txt,0 days 00:00:04.845638000
7,2045.txt,0 days 00:00:04.755738000
1,1988.txt,0 days 00:00:11.279199000
164,1611.txt,0 days 00:00:21.113235000
1,2207.txt,0 days 00:00:09.041810000
1,1506.txt,0 days 00:00:06.537305000
1,1890.txt,0 days 00:00:13.253869000
1,1513.txt,0 days 00:00:11.290626000
1,2186.txt,0 days 00:00:11.934590000
1,1867.txt,0 days 00:00:07.816305000
116,1709.txt,0 days 00:00:19.166409000
1,1575.txt,0 days 00:00:07.436809000
1,2154.txt,0 days 00:00:20.187424000
3,2055.txt,0 days 00:00:06.048165000
1,1837.txt,0 days 00:00:16.136562000
1,1701.txt,0 days 00:00:13.718458000
1,1797.txt,0 days 00:00:09.809341000
1,1584.txt,0 days 00:00:09.671960000
1,2115.txt,0 days 00:00:09.693451000
1,1946.txt,0 days 00:00:10.587400000
1,2156.txt,0 days 00:00:12.096219000
1,1833.txt,0 days 00:00:12.268145000
1,1536.txt,0 days 00:00:12.236036000
83,1968.txt,0 days 00:00:14.488246000
1,1535.txt,0 days 00:00:09.869002000
103,1692.txt,0 days 00:00:13.944577000
