pos_rank,file,time
11,1834.txt,0 days 00:00:00.450961000
72,2224.txt,0 days 00:00:00.325732000
1,2036.txt,0 days 00:00:00.390231000
1,1927.txt,0 days 00:00:00.331580000
157,1873.txt,0 days 00:00:00.324178000
1,1883.txt,0 days 00:00:00.388260000
2,1634.txt,0 days 00:00:00.289577000
1,1941.txt,0 days 00:00:00.208133000
1,1591.txt,0 days 00:00:00.403048000
-1,1972.txt,0 days 00:00:00.403219000
1,1625.txt,0 days 00:00:00.168861000
2,1758.txt,0 days 00:00:00.121342000
3,1670.txt,0 days 00:00:00.219158000
3,1839.txt,0 days 00:00:00.411603000
1,1624.txt,0 days 00:00:00.354297000
1,1603.txt,0 days 00:00:00.371793000
1,1600.txt,0 days 00:00:00.266120000
1,1963.txt,0 days 00:00:00.213309000
1,1986.txt,0 days 00:00:00.335277000
1,1654.txt,0 days 00:00:00.237009000
300,2250.txt,0 days 00:00:00.294745000
1,1791.txt,0 days 00:00:00.241129000
1,1592.txt,0 days 00:00:00.255176000
1,2093.txt,0 days 00:00:00.284583000
1,1831.txt,0 days 00:00:00.377035000
1,1531.txt,0 days 00:00:00.353739000
1,2226.txt,0 days 00:00:00.352167000
164,2041.txt,0 days 00:00:00.205397000
1,1966.txt,0 days 00:00:00.318441000
1,1595.txt,0 days 00:00:00.245573000
1,1717.txt,0 days 00:00:00.334268000
1,2076.txt,0 days 00:00:00.649685000
173,1580.txt,0 days 00:00:00.164368000
1,1551.txt,0 days 00:00:00.416185000
1,1866.txt,0 days 00:00:00.411417000
1,2035.txt,0 days 00:00:00.227205000
7,1840.txt,0 days 00:00:00.386497000
1,1785.txt,0 days 00:00:00.097045000
1,2157.txt,0 days 00:00:00.501986000
1,2082.txt,0 days 00:00:00.297738000
1,1843.txt,0 days 00:00:00.133174000
5,2045.txt,0 days 00:00:00.156893000
1,1988.txt,0 days 00:00:00.402559000
231,1611.txt,0 days 00:00:00.234389000
1,2207.txt,0 days 00:00:00.287951000
1,1506.txt,0 days 00:00:00.140454000
1,1890.txt,0 days 00:00:00.318997000
-1,1513.txt,0 days 00:00:00.301897000
1,2186.txt,0 days 00:00:00.359834000
1,1867.txt,0 days 00:00:00.266915000
-1,1709.txt,0 days 00:00:00.125118000
46,1575.txt,0 days 00:00:00.137983000
1,2154.txt,0 days 00:00:00.450411000
52,2055.txt,0 days 00:00:00.152389000
1,1837.txt,0 days 00:00:00.458864000
1,1701.txt,0 days 00:00:00.359454000
1,1797.txt,0 days 00:00:00.158054000
1,1584.txt,0 days 00:00:00.281605000
1,2115.txt,0 days 00:00:00.282806000
1,1946.txt,0 days 00:00:00.269596000
1,2156.txt,0 days 00:00:00.423278000
1,1833.txt,0 days 00:00:00.389803000
-1,1536.txt,0 days 00:00:00.410987000
-1,1968.txt,0 days 00:00:00.277368000
2,1535.txt,0 days 00:00:00.186969000
-1,1692.txt,0 days 00:00:00.304663000
101,1619.txt,0 days 00:00:00.226319000
1,1796.txt,0 days 00:00:00.257088000
1,2131.txt,0 days 00:00:00.335712000
1,1637.txt,0 days 00:00:00.179587000
1,1504.txt,0 days 00:00:00.372421000
1,1583.txt,0 days 00:00:00.353319000
2,1755.txt,0 days 00:00:00.147332000
1,1628.txt,0 days 00:00:00.301524000
223,1708.txt,0 days 00:00:00.138320000
60,1711.txt,0 days 00:00:00.430726000
1,1590.txt,0 days 00:00:00.101439000
137,2195.txt,0 days 00:00:00.158701000
34,1700.txt,0 days 00:00:00.230506000
446,1762.txt,0 days 00:00:00.193082000
62,2043.txt,0 days 00:00:00.223006000
1,2021.txt,0 days 00:00:00.511688000
170,2080.txt,0 days 00:00:00.341275000
88,2230.txt,0 days 00:00:00.257910000
119,2075.txt,0 days 00:00:00.381096000
2,1932.txt,0 days 00:00:00.439888000
-1,1514.txt,0 days 00:00:00.331838000
1,1714.txt,0 days 00:00:00.257694000
187,2089.txt,0 days 00:00:00.279783000
1,1977.txt,0 days 00:00:00.313940000
112,2048.txt,0 days 00:00:00.157500000
226,1695.txt,0 days 00:00:00.231269000
1,1752.txt,0 days 00:00:00.352717000
128,1616.txt,0 days 00:00:00.335595000
1,2085.txt,0 days 00:00:00.267646000
288,1872.txt,0 days 00:00:00.379891000
2,2210.txt,0 days 00:00:00.254581000
25,1606.txt,0 days 00:00:00.272951000
1,1832.txt,0 days 00:00:00.431881000
68,1697.txt,0 days 00:00:00.249045000
1,2208.txt,0 days 00:00:00.256997000
1,2116.txt,0 days 00:00:00.309816000
1,1849.txt,0 days 00:00:00.164521000
-1,1807.txt,0 days 00:00:00.119381000
1,2077.txt,0 days 00:00:00.546427000
165,1635.txt,0 days 00:00:00.087717000
3,1937.txt,0 days 00:00:00.500401000
59,2042.txt,0 days 00:00:00.193245000
1,2032.txt,0 days 00:00:00.369682000
1,1861.txt,0 days 00:00:00.334861000
140,2050.txt,0 days 00:00:00.070709000
1,1876.txt,0 days 00:00:00.539176000
1,2159.txt,0 days 00:00:00.382034000
2,1865.txt,0 days 00:00:00.235113000
1,2182.txt,0 days 00:00:00.266031000
416,2047.txt,0 days 00:00:00.077882000
4,1809.txt,0 days 00:00:00.159158000
4,2247.txt,0 days 00:00:00.409479000
1,1870.txt,0 days 00:00:00.333226000
1,1971.txt,0 days 00:00:00.460669000
1,1699.txt,0 days 00:00:00.286084000
1,1922.txt,0 days 00:00:00.274499000
5,2167.txt,0 days 00:00:00.120036000
149,1720.txt,0 days 00:00:00.303813000
22,1802.txt,0 days 00:00:00.166303000
1,1888.txt,0 days 00:00:00.337489000
60,1961.txt,0 days 00:00:00.201434000
1,1503.txt,0 days 00:00:00.232188000
23,1587.txt,0 days 00:00:00.169978000
1,1577.txt,0 days 00:00:00.157503000
11,2066.txt,0 days 00:00:00.203126000
3,2073.txt,0 days 00:00:00.405931000
7,2132.txt,0 days 00:00:00.343280000
1,1655.txt,0 days 00:00:00.193382000
1,2160.txt,0 days 00:00:00.300284000
-1,1530.txt,0 days 00:00:00.200296000
7,1626.txt,0 days 00:00:00.466924000
1,1846.txt,0 days 00:00:00.378320000
1,1589.txt,0 days 00:00:00.186932000
9,1640.txt,0 days 00:00:00.125934000
1,1847.txt,0 days 00:00:00.114509000
1,2060.txt,0 days 00:00:00.107363000
1,2138.txt,0 days 00:00:00.339193000
1,2034.txt,0 days 00:00:00.344500000
1,1926.txt,0 days 00:00:00.285892000
1,1783.txt,0 days 00:00:00.271914000
1,2058.txt,0 days 00:00:00.201142000
345,1965.txt,0 days 00:00:00.189733000
1,2028.txt,0 days 00:00:00.469238000
1,1924.txt,0 days 00:00:00.402183000
12,1601.txt,0 days 00:00:00.334130000
1,2185.txt,0 days 00:00:00.197637000
88,1693.txt,0 days 00:00:00.349982000
1,1868.txt,0 days 00:00:00.344083000
2,2198.txt,0 days 00:00:00.154452000
1,2241.txt,0 days 00:00:00.333587000
7,2163.txt,0 days 00:00:00.094145000
9,2249.txt,0 days 00:00:00.321665000
7,1930.txt,0 days 00:00:00.268107000
1,1885.txt,0 days 00:00:00.331682000
-1,1770.txt,0 days 00:00:00.109449000
1,2071.txt,0 days 00:00:00.447294000
92,1874.txt,0 days 00:00:00.335746000
1,1554.txt,0 days 00:00:00.380255000
4,2072.txt,0 days 00:00:00.353042000
1,1652.txt,0 days 00:00:00.272923000
1,1669.txt,0 days 00:00:00.210694000
2,2069.txt,0 days 00:00:00.238434000
2,2152.txt,0 days 00:00:00.410615000
203,1768.txt,0 days 00:00:00.337010000
3,1713.txt,0 days 00:00:00.412180000
1,1593.txt,0 days 00:00:00.310117000
70,2161.txt,0 days 00:00:00.042394000
1,1793.txt,0 days 00:00:00.293305000
1,2118.txt,0 days 00:00:00.393117000
292,1766.txt,0 days 00:00:00.430237000
1,1781.txt,0 days 00:00:00.199701000
1,2162.txt,0 days 00:00:00.142956000
1,2074.txt,0 days 00:00:00.399838000
30,2196.txt,0 days 00:00:00.141589000
1,1864.txt,0 days 00:00:00.359828000
154,2164.txt,0 days 00:00:00.131415000
2,1540.txt,0 days 00:00:00.227664000
8,2140.txt,0 days 00:00:00.159243000
9,1632.txt,0 days 00:00:00.264434000
1,1532.txt,0 days 00:00:00.213991000
176,2062.txt,0 days 00:00:00.194133000
1,1982.txt,0 days 00:00:00.301470000
1,1863.txt,0 days 00:00:00.385876000
1,1877.txt,0 days 00:00:00.514666000
1,2111.txt,0 days 00:00:00.248516000
1,2203.txt,0 days 00:00:00.180297000
-1,2168.txt,0 days 00:00:00.075337000
1,1658.txt,0 days 00:00:00.352806000
1,2133.txt,0 days 00:00:00.402421000
1,2044.txt,0 days 00:00:00.268874000
10,1662.txt,0 days 00:00:00.194790000
54,1934.txt,0 days 00:00:00.372958000
38,2228.txt,0 days 00:00:00.264161000
-1,1528.txt,0 days 00:00:00.251623000
10,1790.txt,0 days 00:00:00.157774000
1,1555.txt,0 days 00:00:00.273601000
41,1539.txt,0 days 00:00:00.209489000
67,1871.txt,0 days 00:00:00.565454000
52,1801.txt,0 days 00:00:00.314386000
1,1576.txt,0 days 00:00:00.172145000
-1,1759.txt,0 days 00:00:00.120912000
2,1511.txt,0 days 00:00:00.498855000
8,1512.txt,0 days 00:00:00.374520000
79,2053.txt,0 days 00:00:00.136076000
1,1836.txt,0 days 00:00:00.415101000
6,1537.txt,0 days 00:00:00.265534000
1,1869.txt,0 days 00:00:00.311191000
317,1806.txt,0 days 00:00:00.203808000
183,1558.txt,0 days 00:00:00.379653000
1,1663.txt,0 days 00:00:00.189802000
261,1527.txt,0 days 00:00:00.183612000
265,1526.txt,0 days 00:00:00.268125000
114,1769.txt,0 days 00:00:00.280242000
19,2139.txt,0 days 00:00:00.262741000
1,2091.txt,0 days 00:00:00.350292000
28,2070.txt,0 days 00:00:00.189219000
18,2056.txt,0 days 00:00:00.293419000
264,1559.txt,0 days 00:00:00.280968000
1,2067.txt,0 days 00:00:00.240555000
1,1879.txt,0 days 00:00:00.453081000
1,1845.txt,0 days 00:00:00.121743000
24,1939.txt,0 days 00:00:00.355748000
16,2037.txt,0 days 00:00:00.303372000
226,1707.txt,0 days 00:00:00.142374000
1,1754.txt,0 days 00:00:00.239721000
1,1786.txt,0 days 00:00:00.325205000
41,1538.txt,0 days 00:00:00.278890000
1,1938.txt,0 days 00:00:00.539292000
1,1718.txt,0 days 00:00:00.423969000
10,1666.txt,0 days 00:00:00.365221000
1,1751.txt,0 days 00:00:00.293104000
106,1698.txt,0 days 00:00:00.223371000
65,2225.txt,0 days 00:00:00.298134000
199,1850.txt,0 days 00:00:00.118436000
1,1585.txt,0 days 00:00:00.169284000
23,1702.txt,0 days 00:00:00.320356000
2,1842.txt,0 days 00:00:00.176805000
309,2170.txt,0 days 00:00:00.098890000
21,1602.txt,0 days 00:00:00.304311000
1,1661.txt,0 days 00:00:00.354049000
38,2100.txt,0 days 00:00:00.262247000
1,1923.txt,0 days 00:00:00.436061000
2,1657.txt,0 days 00:00:00.274144000
3,1552.txt,0 days 00:00:00.413430000
1,1838.txt,0 days 00:00:00.436251000
117,1615.txt,0 days 00:00:00.178322000
1,1597.txt,0 days 00:00:00.240250000
1,1598.txt,0 days 00:00:00.270829000
301,1618.txt,0 days 00:00:00.197719000
1,2151.txt,0 days 00:00:00.397727000
1,2191.txt,0 days 00:00:00.385727000
1,2097.txt,0 days 00:00:00.388307000
1,2135.txt,0 days 00:00:00.123266000
65,1967.txt,0 days 00:00:00.285394000
1,2246.txt,0 days 00:00:00.380328000
1,2158.txt,0 days 00:00:00.480820000
1,1604.txt,0 days 00:00:00.306055000
2,1613.txt,0 days 00:00:00.221685000
5,1716.txt,0 days 00:00:00.415120000
1,2209.txt,0 days 00:00:00.260601000
1,2038.txt,0 days 00:00:00.363036000
81,2165.txt,0 days 00:00:00.133822000
1,1622.txt,0 days 00:00:00.352355000
1,1594.txt,0 days 00:00:00.318111000
1,1989.txt,0 days 00:00:00.391846000
37,1633.txt,0 days 00:00:00.214055000
21,1502.txt,0 days 00:00:00.168597000
2,1571.txt,0 days 00:00:00.151066000
1,1945.txt,0 days 00:00:00.225767000
6,1792.txt,0 days 00:00:00.229360000
70,2169.txt,0 days 00:00:00.064422000
-1,1764.txt,0 days 00:00:00.310409000
1,2190.txt,0 days 00:00:00.211579000
229,1520.txt,0 days 00:00:00.416366000
59,2200.txt,0 days 00:00:00.104481000
1,1942.txt,0 days 00:00:00.229228000
1,2099.txt,0 days 00:00:00.448287000
294,1765.txt,0 days 00:00:00.170729000
1,1660.txt,0 days 00:00:00.341068000
1,1605.txt,0 days 00:00:00.490202000
1,2040.txt,0 days 00:00:00.343899000
83,2079.txt,0 days 00:00:00.452127000
129,1556.txt,0 days 00:00:00.388722000
189,2245.txt,0 days 00:00:00.341959000
1,1880.txt,0 days 00:00:00.405530000
26,2120.txt,0 days 00:00:00.208978000
1,1581.txt,0 days 00:00:00.273467000
1,1921.txt,0 days 00:00:00.430701000
12,2031.txt,0 days 00:00:00.388943000
1,1630.txt,0 days 00:00:00.197386000
1,2114.txt,0 days 00:00:00.357571000
1,1981.txt,0 days 00:00:00.369438000
19,2090.txt,0 days 00:00:00.168305000
26,2054.txt,0 days 00:00:00.080635000
1,1534.txt,0 days 00:00:00.286618000
1,1882.txt,0 days 00:00:00.426779000
299,2134.txt,0 days 00:00:00.308174000
2,1665.txt,0 days 00:00:00.226826000
1,2184.txt,0 days 00:00:00.304062000
3,1878.txt,0 days 00:00:00.319570000
1,1586.txt,0 days 00:00:00.251912000
1,1757.txt,0 days 00:00:00.236792000
1,1617.txt,0 days 00:00:00.166764000
73,2223.txt,0 days 00:00:00.362877000
1,1875.txt,0 days 00:00:00.353476000
1,2098.txt,0 days 00:00:00.350445000
1,2113.txt,0 days 00:00:00.341030000
1,1753.txt,0 days 00:00:00.178914000
1,1884.txt,0 days 00:00:00.278366000
76,1510.txt,0 days 00:00:00.160517000
69,1521.txt,0 days 00:00:00.398205000
1,1984.txt,0 days 00:00:00.332483000
22,1507.txt,0 days 00:00:00.180754000
1,2188.txt,0 days 00:00:00.322881000
1,2227.txt,0 days 00:00:00.219260000
1,1881.txt,0 days 00:00:00.336932000
1,1788.txt,0 days 00:00:00.266153000
169,1761.txt,0 days 00:00:00.294313000
2,2189.txt,0 days 00:00:00.312188000
134,1572.txt,0 days 00:00:00.261069000
39,1519.txt,0 days 00:00:00.455844000
91,1705.txt,0 days 00:00:00.309018000
1,1973.txt,0 days 00:00:00.279561000
1,1947.txt,0 days 00:00:00.303774000
1,2027.txt,0 days 00:00:00.377874000
2,2039.txt,0 days 00:00:00.321972000
2,2166.txt,0 days 00:00:00.209225000
34,1560.txt,0 days 00:00:00.249420000
2,1573.txt,0 days 00:00:00.254653000
211,2046.txt,0 days 00:00:00.214192000
2,2064.txt,0 days 00:00:00.226992000
1,1501.txt,0 days 00:00:00.281625000
1,2153.txt,0 days 00:00:00.458798000
1,2029.txt,0 days 00:00:00.433694000
-1,1805.txt,0 days 00:00:00.071078000
1,1928.txt,0 days 00:00:00.458624000
1,2094.txt,0 days 00:00:00.325448000
1,2137.txt,0 days 00:00:00.319365000
5,1629.txt,0 days 00:00:00.263769000
1,1599.txt,0 days 00:00:00.301796000
1,2033.txt,0 days 00:00:00.276886000
1,1787.txt,0 days 00:00:00.234985000
1,1975.txt,0 days 00:00:00.252526000
1,2206.txt,0 days 00:00:00.306120000
1,1715.txt,0 days 00:00:00.214212000
166,1719.txt,0 days 00:00:00.312983000
3,1935.txt,0 days 00:00:00.313895000
109,2081.txt,0 days 00:00:00.318274000
1,1636.txt,0 days 00:00:00.283474000
8,1620.txt,0 days 00:00:00.119499000
32,1656.txt,0 days 00:00:00.386101000
62,1706.txt,0 days 00:00:00.329798000
1,1664.txt,0 days 00:00:00.255890000
101,1612.txt,0 days 00:00:00.134529000
316,1964.txt,0 days 00:00:00.259894000
29,1712.txt,0 days 00:00:00.393257000
1,2201.txt,0 days 00:00:00.312804000
1,2205.txt,0 days 00:00:00.307396000
42,1804.txt,0 days 00:00:00.084425000
103,2229.txt,0 days 00:00:00.238434000
1,2204.txt,0 days 00:00:00.192693000
1,1943.txt,0 days 00:00:00.308374000
1,2193.txt,0 days 00:00:00.301309000
1,1949.txt,0 days 00:00:00.304178000
1,1936.txt,0 days 00:00:00.381760000
52,1974.txt,0 days 00:00:00.399046000
1,1596.txt,0 days 00:00:00.414232000
1,1889.txt,0 days 00:00:00.412535000
1,1756.txt,0 days 00:00:00.265163000
55,2119.txt,0 days 00:00:00.272799000
1,1588.txt,0 days 00:00:00.275587000
1,1557.txt,0 days 00:00:00.372261000
1,2112.txt,0 days 00:00:00.357929000
1,1522.txt,0 days 00:00:00.312380000
105,1574.txt,0 days 00:00:00.203022000
1,2063.txt,0 days 00:00:00.231140000
1,1983.txt,0 days 00:00:00.471212000
280,1970.txt,0 days 00:00:00.254337000
1,1798.txt,0 days 00:00:00.185891000
1,2026.txt,0 days 00:00:00.417070000
1,2051.txt,0 days 00:00:00.317522000
6,2057.txt,0 days 00:00:00.160766000
1,2092.txt,0 days 00:00:00.353169000
35,2087.txt,0 days 00:00:00.261782000
9,1808.txt,0 days 00:00:00.095295000
322,1763.txt,0 days 00:00:00.166578000
1,1985.txt,0 days 00:00:00.212814000
111,1799.txt,0 days 00:00:00.284761000
5,1505.txt,0 days 00:00:00.179546000
1,2117.txt,0 days 00:00:00.344563000
1,1533.txt,0 days 00:00:00.249502000
1,2061.txt,0 days 00:00:00.225374000
1,1784.txt,0 days 00:00:00.094885000
-1,1694.txt,0 days 00:00:00.223549000
1,1886.txt,0 days 00:00:00.380237000
5,1579.txt,0 days 00:00:00.245517000
