pos_rank,file,time
1,1834.txt,0 days 00:00:01.228181000
121,2224.txt,0 days 00:00:00.707484000
3,2036.txt,0 days 00:00:01.103671000
1,1927.txt,0 days 00:00:01.305523000
-1,1873.txt,0 days 00:00:00.546780000
1,1883.txt,0 days 00:00:00.920011000
3,1634.txt,0 days 00:00:00.375399000
3,1941.txt,0 days 00:00:00.343810000
1,1591.txt,0 days 00:00:01.289898000
-1,1972.txt,0 days 00:00:00.929817000
6,1625.txt,0 days 00:00:00.157097000
46,1758.txt,0 days 00:00:00.170700000
1,1670.txt,0 days 00:00:00.318204000
1,1839.txt,0 days 00:00:01.278343000
1,1624.txt,0 days 00:00:00.613458000
1,1603.txt,0 days 00:00:00.774064000
1,1600.txt,0 days 00:00:00.723517000
348,1963.txt,0 days 00:00:00.277323000
1,1986.txt,0 days 00:00:00.981539000
1,1654.txt,0 days 00:00:00.696564000
-1,2250.txt,0 days 00:00:00.314361000
3,1791.txt,0 days 00:00:00.523841000
1,1592.txt,0 days 00:00:00.482537000
1,2093.txt,0 days 00:00:00.513345000
1,1831.txt,0 days 00:00:01.299771000
1,1531.txt,0 days 00:00:01.003246000
1,2226.txt,0 days 00:00:00.722957000
-1,2041.txt,0 days 00:00:00.366826000
1,1966.txt,0 days 00:00:00.430638000
1,1595.txt,0 days 00:00:00.731554000
6,1717.txt,0 days 00:00:00.637454000
5,2076.txt,0 days 00:00:01.785016000
166,1580.txt,0 days 00:00:00.102186000
1,1551.txt,0 days 00:00:01.309621000
3,1866.txt,0 days 00:00:01.305849000
8,2035.txt,0 days 00:00:00.374530000
123,1840.txt,0 days 00:00:01.175304000
1,1785.txt,0 days 00:00:00.216924000
1,2157.txt,0 days 00:00:01.361984000
1,2082.txt,0 days 00:00:00.467663000
1,1843.txt,0 days 00:00:00.124156000
21,2045.txt,0 days 00:00:00.221905000
1,1988.txt,0 days 00:00:01.248745000
55,1611.txt,0 days 00:00:00.207286000
1,2207.txt,0 days 00:00:01.034851000
1,1506.txt,0 days 00:00:00.200502000
1,1890.txt,0 days 00:00:00.795168000
120,1513.txt,0 days 00:00:00.600179000
