pos_rank,file,time
1,1834.txt,0 days 00:00:02.353916000
1,2224.txt,0 days 00:00:01.564128000
1,2036.txt,0 days 00:00:01.885365000
1,1927.txt,0 days 00:00:01.760101000
50,1873.txt,0 days 00:00:01.735932000
1,1883.txt,0 days 00:00:01.746001000
1,1634.txt,0 days 00:00:01.487802000
1,1941.txt,0 days 00:00:00.961776000
1,1591.txt,0 days 00:00:01.829680000
-1,1972.txt,0 days 00:00:01.959287000
1,1625.txt,0 days 00:00:00.901933000
1,1758.txt,0 days 00:00:00.566674000
1,1670.txt,0 days 00:00:00.968629000
1,1839.txt,0 days 00:00:02.146473000
1,1624.txt,0 days 00:00:01.736051000
1,1603.txt,0 days 00:00:01.838488000
1,1600.txt,0 days 00:00:01.352120000
1,1963.txt,0 days 00:00:00.969577000
1,1986.txt,0 days 00:00:01.500645000
1,1654.txt,0 days 00:00:01.121184000
151,2250.txt,0 days 00:00:01.470193000
1,1791.txt,0 days 00:00:01.048828000
1,1592.txt,0 days 00:00:01.220165000
1,2093.txt,0 days 00:00:01.479134000
1,1831.txt,0 days 00:00:01.766259000
1,1531.txt,0 days 00:00:01.750084000
1,2226.txt,0 days 00:00:01.666137000
-1,2041.txt,0 days 00:00:01.072392000
1,1966.txt,0 days 00:00:01.472319000
1,1595.txt,0 days 00:00:01.222686000
1,1717.txt,0 days 00:00:01.578740000
1,2076.txt,0 days 00:00:03.713814000
-1,1580.txt,0 days 00:00:00.808786000
1,1551.txt,0 days 00:00:02.046670000
1,1866.txt,0 days 00:00:01.969780000
1,2035.txt,0 days 00:00:01.135272000
1,1840.txt,0 days 00:00:01.680097000
1,1785.txt,0 days 00:00:00.457468000
1,2157.txt,0 days 00:00:02.573613000
1,2082.txt,0 days 00:00:01.588456000
1,1843.txt,0 days 00:00:00.663256000
1,2045.txt,0 days 00:00:00.718020000
1,1988.txt,0 days 00:00:01.759313000
408,1611.txt,0 days 00:00:01.055061000
1,2207.txt,0 days 00:00:01.356530000
1,1506.txt,0 days 00:00:00.687183000
1,1890.txt,0 days 00:00:01.601547000
15,1513.txt,0 days 00:00:01.495895000
1,2186.txt,0 days 00:00:01.821303000
1,1867.txt,0 days 00:00:01.161679000
-1,1709.txt,0 days 00:00:00.643027000
65,1575.txt,0 days 00:00:00.631505000
1,2154.txt,0 days 00:00:02.127599000
1,2055.txt,0 days 00:00:00.702701000
1,1837.txt,0 days 00:00:02.477512000
1,1701.txt,0 days 00:00:01.729064000
1,1797.txt,0 days 00:00:00.664901000
1,1584.txt,0 days 00:00:01.343584000
1,2115.txt,0 days 00:00:01.497285000
1,1946.txt,0 days 00:00:01.271624000
1,2156.txt,0 days 00:00:02.111185000
1,1833.txt,0 days 00:00:02.002659000
147,1536.txt,0 days 00:00:01.876831000
5,1968.txt,0 days 00:00:01.467732000
1,1535.txt,0 days 00:00:00.771107000
-1,1692.txt,0 days 00:00:01.546669000
-1,1619.txt,0 days 00:00:01.115278000
1,1796.txt,0 days 00:00:01.115846000
1,2131.txt,0 days 00:00:01.565451000
1,1637.txt,0 days 00:00:00.892647000
1,1504.txt,0 days 00:00:01.799108000
1,1583.txt,0 days 00:00:01.726815000
1,1755.txt,0 days 00:00:00.784943000
1,1628.txt,0 days 00:00:01.383386000
133,1708.txt,0 days 00:00:00.602083000
1,1711.txt,0 days 00:00:02.252738000
1,1590.txt,0 days 00:00:00.521767000
-1,2195.txt,0 days 00:00:00.702573000
87,1700.txt,0 days 00:00:01.018507000
232,1762.txt,0 days 00:00:00.985565000
13,2043.txt,0 days 00:00:01.049895000
1,2021.txt,0 days 00:00:02.694864000
-1,2080.txt,0 days 00:00:01.770762000
-1,2230.txt,0 days 00:00:01.340459000
22,2075.txt,0 days 00:00:02.012961000
1,1932.txt,0 days 00:00:02.275496000
50,1514.txt,0 days 00:00:01.747449000
1,1714.txt,0 days 00:00:01.302781000
11,2089.txt,0 days 00:00:01.455993000
1,1977.txt,0 days 00:00:01.508059000
37,2048.txt,0 days 00:00:00.690680000
176,1695.txt,0 days 00:00:01.176996000
1,1752.txt,0 days 00:00:01.626219000
53,1616.txt,0 days 00:00:01.697226000
1,2085.txt,0 days 00:00:01.238592000
1,1872.txt,0 days 00:00:01.910640000
1,2210.txt,0 days 00:00:01.251586000
2,1606.txt,0 days 00:00:01.272759000
1,1832.txt,0 days 00:00:02.085090000
-1,1697.txt,0 days 00:00:01.221696000
1,2208.txt,0 days 00:00:01.155592000
1,2116.txt,0 days 00:00:01.525563000
5,1849.txt,0 days 00:00:00.741066000
-1,1807.txt,0 days 00:00:00.577619000
1,2077.txt,0 days 00:00:03.222216000
-1,1635.txt,0 days 00:00:00.361912000
1,1937.txt,0 days 00:00:02.394501000
-1,2042.txt,0 days 00:00:00.876957000
1,2032.txt,0 days 00:00:01.953628000
1,1861.txt,0 days 00:00:01.529005000
5,2050.txt,0 days 00:00:00.314431000
