pos_rank,file,time
1,1834.txt,0 days 00:00:00.378763000
2,2224.txt,0 days 00:00:00.281297000
1,2036.txt,0 days 00:00:00.367156000
1,1927.txt,0 days 00:00:00.319638000
78,1873.txt,0 days 00:00:00.305763000
1,1883.txt,0 days 00:00:00.339874000
1,1634.txt,0 days 00:00:00.273661000
15,1941.txt,0 days 00:00:00.195122000
1,1591.txt,0 days 00:00:00.367099000
-1,1972.txt,0 days 00:00:00.377679000
-1,1625.txt,0 days 00:00:00.049319000
1,1758.txt,0 days 00:00:00.116433000
1,1670.txt,0 days 00:00:00.182459000
1,1839.txt,0 days 00:00:00.332981000
1,1624.txt,0 days 00:00:00.214347000
1,1603.txt,0 days 00:00:00.356571000
1,1600.txt,0 days 00:00:00.250378000
1,1963.txt,0 days 00:00:00.205207000
1,1986.txt,0 days 00:00:00.317470000
1,1654.txt,0 days 00:00:00.215662000
-1,2250.txt,0 days 00:00:00.140267000
1,1791.txt,0 days 00:00:00.216116000
1,1592.txt,0 days 00:00:00.235987000
1,2093.txt,0 days 00:00:00.247676000
1,1831.txt,0 days 00:00:00.317217000
1,1531.txt,0 days 00:00:00.339336000
1,2226.txt,0 days 00:00:00.308906000
-1,2041.txt,0 days 00:00:00.197959000
1,1966.txt,0 days 00:00:00.279145000
1,1595.txt,0 days 00:00:00.238000000
1,1717.txt,0 days 00:00:00.311015000
1,2076.txt,0 days 00:00:00.556178000
56,1580.txt,0 days 00:00:00.173359000
1,1551.txt,0 days 00:00:00.372594000
1,1866.txt,0 days 00:00:00.372188000
1,2035.txt,0 days 00:00:00.216796000
1,1840.txt,0 days 00:00:00.285553000
1,1785.txt,0 days 00:00:00.094010000
1,2157.txt,0 days 00:00:00.452960000
1,2082.txt,0 days 00:00:00.260246000
1,1843.txt,0 days 00:00:00.098125000
3,2045.txt,0 days 00:00:00.131746000
1,1988.txt,0 days 00:00:00.341820000
-1,1611.txt,0 days 00:00:00.221068000
1,2207.txt,0 days 00:00:00.252035000
1,1506.txt,0 days 00:00:00.106306000
1,1890.txt,0 days 00:00:00.292576000
29,1513.txt,0 days 00:00:00.317092000
1,2186.txt,0 days 00:00:00.328762000
1,1867.txt,0 days 00:00:00.227915000
-1,1709.txt,0 days 00:00:00.132483000
-1,1575.txt,0 days 00:00:00.116435000
1,2154.txt,0 days 00:00:00.401863000
2,2055.txt,0 days 00:00:00.151048000
1,1837.txt,0 days 00:00:00.382556000
1,1701.txt,0 days 00:00:00.326925000
1,1797.txt,0 days 00:00:00.146444000
1,1584.txt,0 days 00:00:00.249661000
1,2115.txt,0 days 00:00:00.277840000
1,1946.txt,0 days 00:00:00.227940000
1,2156.txt,0 days 00:00:00.407188000
1,1833.txt,0 days 00:00:00.306180000
177,1536.txt,0 days 00:00:00.390688000
