pos_rank,file,time
1,1834.txt,0 days 00:00:02.205683000
55,2224.txt,0 days 00:00:01.573274000
1,2036.txt,0 days 00:00:01.842236000
1,1927.txt,0 days 00:00:01.725852000
366,1873.txt,0 days 00:00:01.663647000
1,1883.txt,0 days 00:00:01.742174000
1,1634.txt,0 days 00:00:01.459530000
5,1941.txt,0 days 00:00:00.960192000
1,1591.txt,0 days 00:00:01.939411000
250,1972.txt,0 days 00:00:01.863799000
1,1625.txt,0 days 00:00:00.904169000
1,1758.txt,0 days 00:00:00.559874000
1,1670.txt,0 days 00:00:00.960568000
2,1839.txt,0 days 00:00:02.112696000
1,1624.txt,0 days 00:00:01.704057000
1,1603.txt,0 days 00:00:01.805621000
1,1600.txt,0 days 00:00:01.280549000
1,1963.txt,0 days 00:00:00.991385000
1,1986.txt,0 days 00:00:01.465628000
1,1654.txt,0 days 00:00:01.120721000
55,2250.txt,0 days 00:00:01.482798000
1,1791.txt,0 days 00:00:01.040164000
1,1592.txt,0 days 00:00:01.220884000
1,2093.txt,0 days 00:00:01.422720000
1,1831.txt,0 days 00:00:01.784402000
1,1531.txt,0 days 00:00:01.726025000
1,2226.txt,0 days 00:00:01.648600000
193,2041.txt,0 days 00:00:00.985454000
1,1966.txt,0 days 00:00:01.468604000
1,1595.txt,0 days 00:00:01.241710000
1,1717.txt,0 days 00:00:01.545355000
1,2076.txt,0 days 00:00:03.599172000
167,1580.txt,0 days 00:00:00.759003000
1,1551.txt,0 days 00:00:02.027354000
1,1866.txt,0 days 00:00:02.038254000
1,2035.txt,0 days 00:00:01.085588000
1,1840.txt,0 days 00:00:01.722618000
1,1785.txt,0 days 00:00:00.437654000
1,2157.txt,0 days 00:00:02.485589000
1,2082.txt,0 days 00:00:01.513533000
1,1843.txt,0 days 00:00:00.614220000
1,2045.txt,0 days 00:00:00.728294000
1,1988.txt,0 days 00:00:01.768386000
-1,1611.txt,0 days 00:00:01.001963000
1,2207.txt,0 days 00:00:01.328440000
1,1506.txt,0 days 00:00:00.655149000
1,1890.txt,0 days 00:00:01.562883000
179,1513.txt,0 days 00:00:01.460365000
1,2186.txt,0 days 00:00:01.742306000
1,1867.txt,0 days 00:00:01.212558000
387,1709.txt,0 days 00:00:00.601166000
-1,1575.txt,0 days 00:00:00.639713000
1,2154.txt,0 days 00:00:02.115270000
148,2055.txt,0 days 00:00:00.711563000
1,1837.txt,0 days 00:00:02.313907000
1,1701.txt,0 days 00:00:01.717845000
1,1797.txt,0 days 00:00:00.665404000
1,1584.txt,0 days 00:00:01.300328000
1,2115.txt,0 days 00:00:01.492149000
1,1946.txt,0 days 00:00:01.229614000
