pos_rank,file,time
1,1926.txt,0 days 00:00:00.371198000
1,1783.txt,0 days 00:00:00.388462000
1,2058.txt,0 days 00:00:00.264897000
1,1965.txt,0 days 00:00:00.249180000
1,2028.txt,0 days 00:00:00.596550000
1,1924.txt,0 days 00:00:00.485502000
5,1601.txt,0 days 00:00:00.473998000
1,2185.txt,0 days 00:00:00.266158000
144,1693.txt,0 days 00:00:00.519720000
1,1868.txt,0 days 00:00:00.388979000
75,2198.txt,0 days 00:00:00.221110000
2,2241.txt,0 days 00:00:00.459482000
2,2163.txt,0 days 00:00:00.114647000
2,2249.txt,0 days 00:00:00.485276000
1,1930.txt,0 days 00:00:00.462139000
1,1885.txt,0 days 00:00:00.423797000
-1,1770.txt,0 days 00:00:00.274355000
1,2071.txt,0 days 00:00:00.606472000
39,1874.txt,0 days 00:00:00.699634000
1,1554.txt,0 days 00:00:00.533303000
110,2072.txt,0 days 00:00:00.461402000
1,1652.txt,0 days 00:00:00.377408000
1,1669.txt,0 days 00:00:00.384487000
1,2069.txt,0 days 00:00:00.397176000
8,2152.txt,0 days 00:00:00.609424000
5,1768.txt,0 days 00:00:00.632559000
4,1713.txt,0 days 00:00:00.683912000
1,1593.txt,0 days 00:00:00.396698000
163,2161.txt,0 days 00:00:00.059653000
1,1793.txt,0 days 00:00:00.415983000
1,2118.txt,0 days 00:00:00.524131000
315,1766.txt,0 days 00:00:00.602929000
1,1781.txt,0 days 00:00:00.268033000
2,2162.txt,0 days 00:00:00.175804000
364,2074.txt,0 days 00:00:00.571955000
19,2196.txt,0 days 00:00:00.193232000
1,1864.txt,0 days 00:00:00.487308000
115,2164.txt,0 days 00:00:00.201444000
1,1540.txt,0 days 00:00:00.330353000
160,2140.txt,0 days 00:00:00.247376000
8,1632.txt,0 days 00:00:00.514061000
1,1532.txt,0 days 00:00:00.318934000
75,2062.txt,0 days 00:00:00.349103000
1,1982.txt,0 days 00:00:00.396037000
1,1863.txt,0 days 00:00:00.494261000
1,1877.txt,0 days 00:00:00.675568000
1,2111.txt,0 days 00:00:00.333286000
1,2203.txt,0 days 00:00:00.251291000
56,2168.txt,0 days 00:00:00.243788000
1,1658.txt,0 days 00:00:00.478501000
1,2133.txt,0 days 00:00:00.732478000
1,2044.txt,0 days 00:00:00.417678000
1,1662.txt,0 days 00:00:00.420410000
1,1934.txt,0 days 00:00:00.584335000
257,2228.txt,0 days 00:00:00.474659000
-1,1528.txt,0 days 00:00:00.298512000
1,1790.txt,0 days 00:00:00.239154000
1,1555.txt,0 days 00:00:00.412063000
1,1539.txt,0 days 00:00:00.315123000
1,1871.txt,0 days 00:00:00.704142000
1,1801.txt,0 days 00:00:00.390708000
221,1576.txt,0 days 00:00:00.279890000
35,1759.txt,0 days 00:00:00.334709000
