pos_rank,file,time
1,1834.txt,0 days 00:00:02.867680000
2,2224.txt,0 days 00:00:02.150050000
1,2036.txt,0 days 00:00:02.145225000
1,1927.txt,0 days 00:00:01.917703000
10,1873.txt,0 days 00:00:02.844163000
1,1883.txt,0 days 00:00:02.129845000
1,1634.txt,0 days 00:00:01.855340000
1,1941.txt,0 days 00:00:01.117929000
1,1591.txt,0 days 00:00:01.918894000
-1,1972.txt,0 days 00:00:02.619048000
2,1625.txt,0 days 00:00:00.931797000
1,1758.txt,0 days 00:00:01.318097000
1,1670.txt,0 days 00:00:01.362152000
1,1839.txt,0 days 00:00:02.589447000
1,1624.txt,0 days 00:00:01.782738000
1,1603.txt,0 days 00:00:02.610432000
1,1600.txt,0 days 00:00:01.531014000
1,1963.txt,0 days 00:00:02.174222000
1,1986.txt,0 days 00:00:01.689682000
1,1654.txt,0 days 00:00:01.497668000
-1,2250.txt,0 days 00:00:01.733177000
1,1791.txt,0 days 00:00:01.403677000
1,1592.txt,0 days 00:00:01.383850000
1,2093.txt,0 days 00:00:01.670483000
1,1831.txt,0 days 00:00:02.076498000
1,1531.txt,0 days 00:00:02.020397000
1,2226.txt,0 days 00:00:01.983838000
60,2041.txt,0 days 00:00:01.485119000
1,1966.txt,0 days 00:00:02.005449000
1,1595.txt,0 days 00:00:01.326181000
1,1717.txt,0 days 00:00:02.847799000
1,2076.txt,0 days 00:00:04.290624000
2,1580.txt,0 days 00:00:01.044251000
1,1551.txt,0 days 00:00:02.785791000
1,1866.txt,0 days 00:00:02.304232000
1,2035.txt,0 days 00:00:01.708636000
1,1840.txt,0 days 00:00:02.238833000
1,1785.txt,0 days 00:00:00.580641000
1,2157.txt,0 days 00:00:03.046253000
1,2082.txt,0 days 00:00:01.688767000
1,1843.txt,0 days 00:00:00.767653000
19,2045.txt,0 days 00:00:00.785126000
1,1988.txt,0 days 00:00:01.944857000
-1,1611.txt,0 days 00:00:03.281917000
1,2207.txt,0 days 00:00:01.547137000
1,1506.txt,0 days 00:00:00.721799000
1,1890.txt,0 days 00:00:01.968777000
181,1513.txt,0 days 00:00:02.094411000
1,2186.txt,0 days 00:00:01.914522000
1,1867.txt,0 days 00:00:01.356833000
172,1709.txt,0 days 00:00:01.253312000
2,1575.txt,0 days 00:00:00.755856000
1,2154.txt,0 days 00:00:03.376546000
1,2055.txt,0 days 00:00:00.939975000
1,1837.txt,0 days 00:00:03.092490000
1,1701.txt,0 days 00:00:02.028856000
1,1797.txt,0 days 00:00:01.127864000
1,1584.txt,0 days 00:00:01.508518000
1,2115.txt,0 days 00:00:01.747584000
1,1946.txt,0 days 00:00:01.756542000
1,2156.txt,0 days 00:00:02.383455000
1,1833.txt,0 days 00:00:02.370374000
2,1536.txt,0 days 00:00:02.232858000
54,1968.txt,0 days 00:00:02.406839000
1,1535.txt,0 days 00:00:01.237160000
176,1692.txt,0 days 00:00:02.374847000
-1,1619.txt,0 days 00:00:02.756351000
1,1796.txt,0 days 00:00:01.684863000
1,2131.txt,0 days 00:00:02.115962000
1,1637.txt,0 days 00:00:01.406628000
1,1504.txt,0 days 00:00:01.966606000
1,1583.txt,0 days 00:00:01.953871000
1,1755.txt,0 days 00:00:01.842856000
1,1628.txt,0 days 00:00:01.468782000
-1,1708.txt,0 days 00:00:01.163372000
1,1711.txt,0 days 00:00:02.953730000
1,1590.txt,0 days 00:00:00.553883000
7,2195.txt,0 days 00:00:00.722785000
18,1700.txt,0 days 00:00:01.489270000
282,1762.txt,0 days 00:00:02.483356000
31,2043.txt,0 days 00:00:02.251461000
1,2021.txt,0 days 00:00:02.953121000
43,2080.txt,0 days 00:00:02.592940000
74,2230.txt,0 days 00:00:02.068559000
2,2075.txt,0 days 00:00:02.348838000
1,1932.txt,0 days 00:00:02.707692000
88,1514.txt,0 days 00:00:02.072781000
1,1714.txt,0 days 00:00:01.856768000
2,2089.txt,0 days 00:00:01.589729000
1,1977.txt,0 days 00:00:01.940910000
1,2048.txt,0 days 00:00:01.065561000
-1,1695.txt,0 days 00:00:01.797008000
1,1752.txt,0 days 00:00:02.106158000
38,1616.txt,0 days 00:00:02.988231000
1,2085.txt,0 days 00:00:01.335486000
1,1872.txt,0 days 00:00:02.758912000
