pos_rank,file,time
1,1834.txt,0 days 00:00:00.218604000
2,2224.txt,0 days 00:00:00.112698000
40,2036.txt,0 days 00:00:00.188341000
1,1927.txt,0 days 00:00:00.205143000
12,1873.txt,0 days 00:00:00.086371000
1,1883.txt,0 days 00:00:00.153834000
3,1634.txt,0 days 00:00:00.073626000
14,1941.txt,0 days 00:00:00.063119000
1,1591.txt,0 days 00:00:00.202717000
-1,1972.txt,0 days 00:00:00.153024000
38,1625.txt,0 days 00:00:00.028802000
1,1758.txt,0 days 00:00:00.030935000
1,1670.txt,0 days 00:00:00.058691000
1,1839.txt,0 days 00:00:00.213002000
1,1624.txt,0 days 00:00:00.100229000
1,1603.txt,0 days 00:00:00.136927000
1,1600.txt,0 days 00:00:00.131640000
176,1963.txt,0 days 00:00:00.056531000
1,1986.txt,0 days 00:00:00.168921000
1,1654.txt,0 days 00:00:00.120603000
-1,2250.txt,0 days 00:00:00.047059000
1,1791.txt,0 days 00:00:00.085615000
1,1592.txt,0 days 00:00:00.082021000
1,2093.txt,0 days 00:00:00.088092000
1,1831.txt,0 days 00:00:00.209095000
1,1531.txt,0 days 00:00:00.169510000
1,2226.txt,0 days 00:00:00.126421000
-1,2041.txt,0 days 00:00:00.064442000
6,1966.txt,0 days 00:00:00.080771000
1,1595.txt,0 days 00:00:00.121995000
1,1717.txt,0 days 00:00:00.121253000
69,2076.txt,0 days 00:00:00.282555000
245,1580.txt,0 days 00:00:00.021792000
1,1551.txt,0 days 00:00:00.212061000
1,1866.txt,0 days 00:00:00.209274000
49,2035.txt,0 days 00:00:00.068765000
198,1840.txt,0 days 00:00:00.197478000
1,1785.txt,0 days 00:00:00.043912000
1,2157.txt,0 days 00:00:00.225830000
8,2082.txt,0 days 00:00:00.082366000
1,1843.txt,0 days 00:00:00.022633000
14,2045.txt,0 days 00:00:00.033896000
1,1988.txt,0 days 00:00:00.206592000
-1,1611.txt,0 days 00:00:00.042378000
1,2207.txt,0 days 00:00:00.182081000
1,1506.txt,0 days 00:00:00.038884000
1,1890.txt,0 days 00:00:00.133168000
33,1513.txt,0 days 00:00:00.111699000
1,2186.txt,0 days 00:00:00.165901000
1,1867.txt,0 days 00:00:00.162079000
-1,1709.txt,0 days 00:00:00.007984000
-1,1575.txt,0 days 00:00:00.017912000
1,2154.txt,0 days 00:00:00.167033000
-1,2055.txt,0 days 00:00:00.054514000
1,1837.txt,0 days 00:00:00.201307000
1,1701.txt,0 days 00:00:00.148621000
-1,1797.txt,0 days 00:00:00.024289000
1,1584.txt,0 days 00:00:00.089322000
1,2115.txt,0 days 00:00:00.163303000
56,1946.txt,0 days 00:00:00.070770000
1,2156.txt,0 days 00:00:00.264428000
1,1833.txt,0 days 00:00:00.202636000
16,1536.txt,0 days 00:00:00.199795000
-1,1968.txt,0 days 00:00:00.074049000
7,1535.txt,0 days 00:00:00.028901000
-1,1692.txt,0 days 00:00:00.092602000
87,1619.txt,0 days 00:00:00.042643000
-1,1796.txt,0 days 00:00:00.024344000
1,2131.txt,0 days 00:00:00.128320000
10,1637.txt,0 days 00:00:00.037818000
1,1504.txt,0 days 00:00:00.122374000
1,1583.txt,0 days 00:00:00.087796000
-1,1755.txt,0 days 00:00:00.014489000
1,1628.txt,0 days 00:00:00.143855000
-1,1708.txt,0 days 00:00:00.012534000
-1,1711.txt,0 days 00:00:00.140177000
1,1590.txt,0 days 00:00:00.045008000
-1,2195.txt,0 days 00:00:00.024750000
-1,1700.txt,0 days 00:00:00.041303000
-1,1762.txt,0 days 00:00:00.011558000
-1,2043.txt,0 days 00:00:00.057207000
1,2021.txt,0 days 00:00:00.295330000
-1,2080.txt,0 days 00:00:00.108905000
-1,2230.txt,0 days 00:00:00.038851000
67,2075.txt,0 days 00:00:00.154553000
1,1932.txt,0 days 00:00:00.117116000
17,1514.txt,0 days 00:00:00.067967000
4,1714.txt,0 days 00:00:00.084221000
-1,2089.txt,0 days 00:00:00.033350000
1,1977.txt,0 days 00:00:00.075448000
-1,2048.txt,0 days 00:00:00.020507000
-1,1695.txt,0 days 00:00:00.030734000
1,1752.txt,0 days 00:00:00.125609000
-1,1616.txt,0 days 00:00:00.043776000
