pos_rank,file,time
1,1834.txt,0 days 00:00:03.260879000
93,2224.txt,0 days 00:00:02.596077000
1,2036.txt,0 days 00:00:02.658732000
1,1927.txt,0 days 00:00:02.305174000
52,1873.txt,0 days 00:00:03.179608000
9,1883.txt,0 days 00:00:02.547326000
1,1634.txt,0 days 00:00:02.207765000
1,1941.txt,0 days 00:00:01.367190000
1,1591.txt,0 days 00:00:02.465883000
-1,1972.txt,0 days 00:00:03.027696000
1,1625.txt,0 days 00:00:01.117680000
1,1758.txt,0 days 00:00:01.492261000
1,1670.txt,0 days 00:00:01.608112000
1,1839.txt,0 days 00:00:03.065347000
1,1624.txt,0 days 00:00:02.141614000
1,1603.txt,0 days 00:00:03.090971000
1,1600.txt,0 days 00:00:01.812675000
1,1963.txt,0 days 00:00:02.595337000
1,1986.txt,0 days 00:00:02.035821000
1,1654.txt,0 days 00:00:01.682913000
144,2250.txt,0 days 00:00:02.190224000
1,1791.txt,0 days 00:00:01.644754000
1,1592.txt,0 days 00:00:01.724038000
1,2093.txt,0 days 00:00:02.011170000
1,1831.txt,0 days 00:00:02.503638000
1,1531.txt,0 days 00:00:02.385238000
1,2226.txt,0 days 00:00:02.337431000
2,2041.txt,0 days 00:00:01.603640000
1,1966.txt,0 days 00:00:02.270709000
1,1595.txt,0 days 00:00:01.610306000
1,1717.txt,0 days 00:00:03.106940000
1,2076.txt,0 days 00:00:04.993756000
2,1580.txt,0 days 00:00:01.199575000
1,1551.txt,0 days 00:00:03.288269000
1,1866.txt,0 days 00:00:02.912339000
1,2035.txt,0 days 00:00:02.021876000
1,1840.txt,0 days 00:00:02.661543000
1,1785.txt,0 days 00:00:00.690981000
1,2157.txt,0 days 00:00:03.580828000
1,2082.txt,0 days 00:00:01.948203000
1,1843.txt,0 days 00:00:00.873112000
11,2045.txt,0 days 00:00:01.017473000
1,1988.txt,0 days 00:00:02.321769000
431,1611.txt,0 days 00:00:03.727973000
1,2207.txt,0 days 00:00:01.839908000
1,1506.txt,0 days 00:00:00.825911000
1,1890.txt,0 days 00:00:02.287804000
167,1513.txt,0 days 00:00:02.534910000
1,2186.txt,0 days 00:00:02.223971000
1,1867.txt,0 days 00:00:01.660329000
266,1709.txt,0 days 00:00:01.376326000
5,1575.txt,0 days 00:00:00.864731000
1,2154.txt,0 days 00:00:03.913800000
2,2055.txt,0 days 00:00:01.103904000
1,1837.txt,0 days 00:00:03.525298000
1,1701.txt,0 days 00:00:02.369178000
1,1797.txt,0 days 00:00:01.305721000
1,1584.txt,0 days 00:00:01.725368000
1,2115.txt,0 days 00:00:02.099657000
1,1946.txt,0 days 00:00:01.958240000
1,2156.txt,0 days 00:00:02.821129000
1,1833.txt,0 days 00:00:02.866146000
1,1536.txt,0 days 00:00:02.652883000
314,1968.txt,0 days 00:00:02.611909000
2,1535.txt,0 days 00:00:01.497171000
311,1692.txt,0 days 00:00:02.723382000
-1,1619.txt,0 days 00:00:03.115169000
1,1796.txt,0 days 00:00:01.846622000
1,2131.txt,0 days 00:00:02.516053000
1,1637.txt,0 days 00:00:01.593985000
1,1504.txt,0 days 00:00:02.268565000
1,1583.txt,0 days 00:00:02.294902000
2,1755.txt,0 days 00:00:02.084449000
1,1628.txt,0 days 00:00:01.864799000
203,1708.txt,0 days 00:00:01.272596000
1,1711.txt,0 days 00:00:03.418816000
1,1590.txt,0 days 00:00:00.589569000
4,2195.txt,0 days 00:00:00.907928000
133,1700.txt,0 days 00:00:01.776133000
171,1762.txt,0 days 00:00:02.803594000
139,2043.txt,0 days 00:00:02.563477000
1,2021.txt,0 days 00:00:03.460719000
143,2080.txt,0 days 00:00:02.875306000
292,2230.txt,0 days 00:00:02.318958000
45,2075.txt,0 days 00:00:02.659231000
1,1932.txt,0 days 00:00:03.137523000
205,1514.txt,0 days 00:00:02.406817000
1,1714.txt,0 days 00:00:02.115618000
26,2089.txt,0 days 00:00:01.834800000
1,1977.txt,0 days 00:00:02.299192000
2,2048.txt,0 days 00:00:01.284439000
-1,1695.txt,0 days 00:00:01.984921000
1,1752.txt,0 days 00:00:02.355679000
94,1616.txt,0 days 00:00:03.523966000
1,2085.txt,0 days 00:00:01.536049000
