pos_rank,file,time
1,1834.txt,0 days 00:00:05.965918000
4,2224.txt,0 days 00:00:04.589287000
1,2036.txt,0 days 00:00:04.760425000
1,1927.txt,0 days 00:00:04.039258000
16,1873.txt,0 days 00:00:05.919180000
2,1883.txt,0 days 00:00:04.549085000
1,1634.txt,0 days 00:00:03.981160000
1,1941.txt,0 days 00:00:02.413097000
1,1591.txt,0 days 00:00:04.334361000
-1,1972.txt,0 days 00:00:05.424631000
1,1625.txt,0 days 00:00:01.972136000
1,1758.txt,0 days 00:00:02.729839000
1,1670.txt,0 days 00:00:02.817262000
1,1839.txt,0 days 00:00:05.485248000
1,1624.txt,0 days 00:00:03.861760000
1,1603.txt,0 days 00:00:05.516932000
1,1600.txt,0 days 00:00:03.321569000
1,1963.txt,0 days 00:00:04.730720000
1,1986.txt,0 days 00:00:03.553855000
1,1654.txt,0 days 00:00:03.051073000
111,2250.txt,0 days 00:00:04.024552000
1,1791.txt,0 days 00:00:02.859533000
1,1592.txt,0 days 00:00:03.013045000
1,2093.txt,0 days 00:00:03.591136000
1,1831.txt,0 days 00:00:04.506198000
1,1531.txt,0 days 00:00:04.253441000
1,2226.txt,0 days 00:00:04.189629000
3,2041.txt,0 days 00:00:02.964472000
1,1966.txt,0 days 00:00:04.156689000
1,1595.txt,0 days 00:00:02.811356000
1,1717.txt,0 days 00:00:05.708088000
1,2076.txt,0 days 00:00:09.383376000
1,1580.txt,0 days 00:00:02.118011000
1,1551.txt,0 days 00:00:05.832589000
1,1866.txt,0 days 00:00:05.154491000
1,2035.txt,0 days 00:00:03.732679000
1,1840.txt,0 days 00:00:04.726427000
1,1785.txt,0 days 00:00:01.208045000
1,2157.txt,0 days 00:00:06.430265000
1,2082.txt,0 days 00:00:03.497373000
1,1843.txt,0 days 00:00:01.587388000
1,2045.txt,0 days 00:00:01.788317000
1,1988.txt,0 days 00:00:04.204731000
369,1611.txt,0 days 00:00:06.880506000
1,2207.txt,0 days 00:00:03.322175000
1,1506.txt,0 days 00:00:01.514424000
1,1890.txt,0 days 00:00:04.114174000
125,1513.txt,0 days 00:00:04.420487000
1,2186.txt,0 days 00:00:03.903089000
1,1867.txt,0 days 00:00:02.923038000
317,1709.txt,0 days 00:00:02.534012000
4,1575.txt,0 days 00:00:01.541459000
1,2154.txt,0 days 00:00:06.979312000
1,2055.txt,0 days 00:00:01.944342000
1,1837.txt,0 days 00:00:06.367432000
1,1701.txt,0 days 00:00:04.273618000
1,1797.txt,0 days 00:00:02.276580000
1,1584.txt,0 days 00:00:03.111854000
1,2115.txt,0 days 00:00:03.847188000
1,1946.txt,0 days 00:00:03.589462000
1,2156.txt,0 days 00:00:04.949393000
1,1833.txt,0 days 00:00:05.144089000
2,1536.txt,0 days 00:00:04.656681000
43,1968.txt,0 days 00:00:04.905203000
1,1535.txt,0 days 00:00:02.648599000
205,1692.txt,0 days 00:00:05.017544000
220,1619.txt,0 days 00:00:05.765208000
1,1796.txt,0 days 00:00:03.253413000
1,2131.txt,0 days 00:00:04.464459000
1,1637.txt,0 days 00:00:02.773778000
1,1504.txt,0 days 00:00:04.056366000
1,1583.txt,0 days 00:00:03.935264000
1,1755.txt,0 days 00:00:03.851418000
1,1628.txt,0 days 00:00:03.215601000
197,1708.txt,0 days 00:00:02.347073000
1,1711.txt,0 days 00:00:06.426356000
1,1590.txt,0 days 00:00:01.073617000
1,2195.txt,0 days 00:00:01.635157000
136,1700.txt,0 days 00:00:03.179783000
291,1762.txt,0 days 00:00:05.088719000
108,2043.txt,0 days 00:00:04.872455000
1,2021.txt,0 days 00:00:06.320333000
59,2080.txt,0 days 00:00:05.387251000
377,2230.txt,0 days 00:00:04.217472000
7,2075.txt,0 days 00:00:04.899640000
1,1932.txt,0 days 00:00:05.928166000
59,1514.txt,0 days 00:00:04.475981000
1,1714.txt,0 days 00:00:03.738288000
25,2089.txt,0 days 00:00:03.367196000
1,1977.txt,0 days 00:00:04.230926000
1,2048.txt,0 days 00:00:02.272232000
198,1695.txt,0 days 00:00:03.551507000
1,1752.txt,0 days 00:00:04.243555000
2,1616.txt,0 days 00:00:06.239498000
1,2085.txt,0 days 00:00:02.783865000
1,1872.txt,0 days 00:00:05.952090000
1,2210.txt,0 days 00:00:03.053323000
3,1606.txt,0 days 00:00:03.100498000
1,1832.txt,0 days 00:00:05.650891000
19,1697.txt,0 days 00:00:03.761238000
1,2208.txt,0 days 00:00:02.624907000
1,2116.txt,0 days 00:00:03.222429000
1,1849.txt,0 days 00:00:01.798581000
-1,1807.txt,0 days 00:00:01.328998000
1,2077.txt,0 days 00:00:08.526831000
96,1635.txt,0 days 00:00:01.765367000
1,1937.txt,0 days 00:00:06.252514000
22,2042.txt,0 days 00:00:03.092253000
1,2032.txt,0 days 00:00:05.582932000
1,1861.txt,0 days 00:00:03.948765000
32,2050.txt,0 days 00:00:01.050735000
1,1876.txt,0 days 00:00:07.610950000
