pos_rank,file,time
1,1834.txt,0 days 00:00:11.308404000
2,2224.txt,0 days 00:00:10.245523000
1,2036.txt,0 days 00:00:09.446939000
1,1927.txt,0 days 00:00:07.783639000
13,1873.txt,0 days 00:00:13.927489000
1,1883.txt,0 days 00:00:13.401332000
1,1634.txt,0 days 00:00:11.129042000
1,1941.txt,0 days 00:00:07.686646000
1,1591.txt,0 days 00:00:08.211521000
262,1972.txt,0 days 00:00:11.717813000
1,1625.txt,0 days 00:00:08.335184000
1,1758.txt,0 days 00:00:08.539202000
1,1670.txt,0 days 00:00:06.949312000
1,1839.txt,0 days 00:00:10.563863000
1,1624.txt,0 days 00:00:11.888639000
1,1603.txt,0 days 00:00:12.635475000
1,1600.txt,0 days 00:00:07.100473000
1,1963.txt,0 days 00:00:10.730292000
1,1986.txt,0 days 00:00:06.686090000
1,1654.txt,0 days 00:00:05.566319000
247,2250.txt,0 days 00:00:15.995890000
1,1791.txt,0 days 00:00:05.272407000
1,1592.txt,0 days 00:00:07.905077000
1,2093.txt,0 days 00:00:11.170256000
1,1831.txt,0 days 00:00:08.186749000
1,1531.txt,0 days 00:00:07.698950000
1,2226.txt,0 days 00:00:08.677478000
77,2041.txt,0 days 00:00:07.678276000
1,1966.txt,0 days 00:00:08.883707000
1,1595.txt,0 days 00:00:06.074708000
1,1717.txt,0 days 00:00:15.405358000
1,2076.txt,0 days 00:00:19.361942000
19,1580.txt,0 days 00:00:05.739781000
1,1551.txt,0 days 00:00:13.478292000
1,1866.txt,0 days 00:00:09.216420000
1,2035.txt,0 days 00:00:07.625059000
1,1840.txt,0 days 00:00:08.518195000
1,1785.txt,0 days 00:00:03.045532000
1,2157.txt,0 days 00:00:12.585880000
1,2082.txt,0 days 00:00:10.880108000
1,1843.txt,0 days 00:00:03.775441000
12,2045.txt,0 days 00:00:03.609627000
1,1988.txt,0 days 00:00:08.693465000
-1,1611.txt,0 days 00:00:16.007152000
1,2207.txt,0 days 00:00:06.902387000
1,1506.txt,0 days 00:00:04.928034000
1,1890.txt,0 days 00:00:10.237084000
2,1513.txt,0 days 00:00:08.737316000
1,2186.txt,0 days 00:00:09.138676000
1,1867.txt,0 days 00:00:06.124991000
29,1709.txt,0 days 00:00:14.572452000
1,1575.txt,0 days 00:00:05.642853000
1,2154.txt,0 days 00:00:15.145976000
1,2055.txt,0 days 00:00:04.545908000
1,1837.txt,0 days 00:00:12.306503000
1,1701.txt,0 days 00:00:10.307177000
1,1797.txt,0 days 00:00:07.516949000
1,1584.txt,0 days 00:00:07.548305000
1,2115.txt,0 days 00:00:07.466525000
1,1946.txt,0 days 00:00:08.006157000
1,2156.txt,0 days 00:00:09.200222000
1,1833.txt,0 days 00:00:09.396908000
2,1536.txt,0 days 00:00:09.318820000
20,1968.txt,0 days 00:00:10.861749000
1,1535.txt,0 days 00:00:07.481536000
8,1692.txt,0 days 00:00:10.480270000
-1,1619.txt,0 days 00:00:15.671107000
1,1796.txt,0 days 00:00:08.597580000
1,2131.txt,0 days 00:00:11.396582000
4,1637.txt,0 days 00:00:06.497616000
1,1504.txt,0 days 00:00:11.152367000
1,1583.txt,0 days 00:00:09.033325000
