pos_rank,file,time
1,1834.txt,0 days 00:00:05.351121000
231,2224.txt,0 days 00:00:04.739654000
1,2036.txt,0 days 00:00:04.511940000
1,1927.txt,0 days 00:00:03.821336000
1,1873.txt,0 days 00:00:06.127453000
1,1883.txt,0 days 00:00:06.362787000
1,1634.txt,0 days 00:00:05.100397000
1,1941.txt,0 days 00:00:03.653721000
1,1591.txt,0 days 00:00:04.225783000
-1,1972.txt,0 days 00:00:05.722238000
1,1625.txt,0 days 00:00:03.971749000
1,1758.txt,0 days 00:00:03.875904000
47,1670.txt,0 days 00:00:03.342421000
1,1839.txt,0 days 00:00:05.087184000
1,1624.txt,0 days 00:00:05.700290000
1,1603.txt,0 days 00:00:06.032750000
1,1600.txt,0 days 00:00:03.403115000
1,1963.txt,0 days 00:00:05.026225000
1,1986.txt,0 days 00:00:03.509260000
10,1654.txt,0 days 00:00:02.768589000
52,2250.txt,0 days 00:00:07.480648000
1,1791.txt,0 days 00:00:02.636123000
1,1592.txt,0 days 00:00:03.785009000
1,2093.txt,0 days 00:00:05.417704000
1,1831.txt,0 days 00:00:04.108299000
1,1531.txt,0 days 00:00:03.813846000
1,2226.txt,0 days 00:00:04.208269000
41,2041.txt,0 days 00:00:03.511107000
41,1966.txt,0 days 00:00:04.325382000
1,1595.txt,0 days 00:00:03.025891000
1,1717.txt,0 days 00:00:06.738156000
1,2076.txt,0 days 00:00:08.671922000
420,1580.txt,0 days 00:00:02.792150000
1,1551.txt,0 days 00:00:06.572138000
1,1866.txt,0 days 00:00:04.763598000
1,2035.txt,0 days 00:00:03.684462000
15,1840.txt,0 days 00:00:04.171200000
1,1785.txt,0 days 00:00:01.517365000
1,2157.txt,0 days 00:00:06.007069000
1,2082.txt,0 days 00:00:04.921688000
1,1843.txt,0 days 00:00:01.840846000
32,2045.txt,0 days 00:00:01.871053000
1,1988.txt,0 days 00:00:04.245606000
393,1611.txt,0 days 00:00:06.781079000
1,2207.txt,0 days 00:00:03.332541000
1,1506.txt,0 days 00:00:02.355052000
1,1890.txt,0 days 00:00:04.720750000
196,1513.txt,0 days 00:00:04.394763000
1,2186.txt,0 days 00:00:04.518005000
1,1867.txt,0 days 00:00:03.108128000
141,1709.txt,0 days 00:00:06.362222000
1,1575.txt,0 days 00:00:02.723280000
1,2154.txt,0 days 00:00:07.376123000
141,2055.txt,0 days 00:00:02.254579000
1,1837.txt,0 days 00:00:05.875338000
1,1701.txt,0 days 00:00:05.131126000
7,1797.txt,0 days 00:00:03.514882000
1,1584.txt,0 days 00:00:03.704535000
1,2115.txt,0 days 00:00:03.610723000
1,1946.txt,0 days 00:00:03.818873000
1,2156.txt,0 days 00:00:04.737258000
1,1833.txt,0 days 00:00:04.669463000
6,1536.txt,0 days 00:00:04.904186000
114,1968.txt,0 days 00:00:04.899690000
1,1535.txt,0 days 00:00:03.676727000
37,1692.txt,0 days 00:00:05.007871000
430,1619.txt,0 days 00:00:06.765141000
