pos_rank,file,time
1,1834.txt,0 days 00:00:03.312852000
51,2224.txt,0 days 00:00:02.900111000
1,2036.txt,0 days 00:00:02.831199000
1,1927.txt,0 days 00:00:02.360436000
21,1873.txt,0 days 00:00:03.703352000
1,1883.txt,0 days 00:00:03.888441000
2,1634.txt,0 days 00:00:03.038239000
1,1941.txt,0 days 00:00:02.267010000
1,1591.txt,0 days 00:00:02.455428000
129,1972.txt,0 days 00:00:03.628990000
1,1625.txt,0 days 00:00:02.329625000
1,1758.txt,0 days 00:00:02.339227000
1,1670.txt,0 days 00:00:02.124290000
1,1839.txt,0 days 00:00:03.067137000
1,1624.txt,0 days 00:00:03.367854000
1,1603.txt,0 days 00:00:03.646462000
1,1600.txt,0 days 00:00:02.012438000
1,1963.txt,0 days 00:00:02.986007000
1,1986.txt,0 days 00:00:02.221584000
4,1654.txt,0 days 00:00:01.711318000
164,2250.txt,0 days 00:00:04.209218000
1,1791.txt,0 days 00:00:01.634476000
1,1592.txt,0 days 00:00:02.298299000
1,2093.txt,0 days 00:00:03.261683000
1,1831.txt,0 days 00:00:02.393058000
1,1531.txt,0 days 00:00:02.362850000
1,2226.txt,0 days 00:00:02.690626000
-1,2041.txt,0 days 00:00:02.235002000
1,1966.txt,0 days 00:00:02.560777000
1,1595.txt,0 days 00:00:01.841013000
1,1717.txt,0 days 00:00:04.075170000
1,2076.txt,0 days 00:00:05.158443000
10,1580.txt,0 days 00:00:01.711016000
1,1551.txt,0 days 00:00:04.028614000
1,1866.txt,0 days 00:00:02.799644000
1,2035.txt,0 days 00:00:02.250191000
1,1840.txt,0 days 00:00:02.501332000
1,1785.txt,0 days 00:00:00.947627000
1,2157.txt,0 days 00:00:03.550582000
1,2082.txt,0 days 00:00:02.938360000
1,1843.txt,0 days 00:00:01.232001000
3,2045.txt,0 days 00:00:01.081017000
1,1988.txt,0 days 00:00:02.707712000
250,1611.txt,0 days 00:00:04.147073000
1,2207.txt,0 days 00:00:02.102191000
1,1506.txt,0 days 00:00:01.449697000
1,1890.txt,0 days 00:00:02.840298000
1,1513.txt,0 days 00:00:02.662906000
1,2186.txt,0 days 00:00:02.713406000
1,1867.txt,0 days 00:00:01.935058000
263,1709.txt,0 days 00:00:03.842831000
1,1575.txt,0 days 00:00:01.677871000
1,2154.txt,0 days 00:00:04.333458000
2,2055.txt,0 days 00:00:01.428450000
1,1837.txt,0 days 00:00:03.517153000
1,1701.txt,0 days 00:00:03.188134000
1,1797.txt,0 days 00:00:02.244149000
1,1584.txt,0 days 00:00:02.360398000
1,2115.txt,0 days 00:00:02.130922000
1,1946.txt,0 days 00:00:02.344015000
1,2156.txt,0 days 00:00:02.873131000
1,1833.txt,0 days 00:00:02.745830000
5,1536.txt,0 days 00:00:02.958556000
167,1968.txt,0 days 00:00:03.060278000
1,1535.txt,0 days 00:00:02.177957000
-1,1692.txt,0 days 00:00:03.011248000
320,1619.txt,0 days 00:00:03.965018000
1,1796.txt,0 days 00:00:02.588210000
1,2131.txt,0 days 00:00:03.304920000
3,1637.txt,0 days 00:00:01.933070000
1,1504.txt,0 days 00:00:03.348892000
1,1583.txt,0 days 00:00:02.773928000
50,1755.txt,0 days 00:00:03.076736000
1,1628.txt,0 days 00:00:02.654546000
198,1708.txt,0 days 00:00:04.460043000
1,1711.txt,0 days 00:00:04.050609000
1,1590.txt,0 days 00:00:01.021956000
4,2195.txt,0 days 00:00:01.524459000
161,1700.txt,0 days 00:00:02.171876000
270,1762.txt,0 days 00:00:04.057118000
52,2043.txt,0 days 00:00:02.783200000
1,2021.txt,0 days 00:00:03.318508000
183,2080.txt,0 days 00:00:03.100433000
3,2230.txt,0 days 00:00:02.987247000
8,2075.txt,0 days 00:00:03.104484000
5,1932.txt,0 days 00:00:03.429636000
-1,1514.txt,0 days 00:00:03.329385000
1,1714.txt,0 days 00:00:03.628748000
2,2089.txt,0 days 00:00:03.433707000
1,1977.txt,0 days 00:00:02.902324000
28,2048.txt,0 days 00:00:01.819778000
231,1695.txt,0 days 00:00:02.470238000
1,1752.txt,0 days 00:00:03.032912000
34,1616.txt,0 days 00:00:03.829094000
1,2085.txt,0 days 00:00:02.412485000
29,1872.txt,0 days 00:00:03.629488000
1,2210.txt,0 days 00:00:01.725185000
1,1606.txt,0 days 00:00:02.158718000
1,1832.txt,0 days 00:00:03.364626000
5,1697.txt,0 days 00:00:02.438063000
1,2208.txt,0 days 00:00:01.534950000
1,2116.txt,0 days 00:00:02.149154000
2,1849.txt,0 days 00:00:01.298902000
57,1807.txt,0 days 00:00:01.808528000
1,2077.txt,0 days 00:00:04.477167000
324,1635.txt,0 days 00:00:02.084119000
1,1937.txt,0 days 00:00:03.855327000
-1,2042.txt,0 days 00:00:01.838974000
1,2032.txt,0 days 00:00:03.097769000
1,1861.txt,0 days 00:00:02.447738000
58,2050.txt,0 days 00:00:01.022143000
1,1876.txt,0 days 00:00:04.360465000
1,2159.txt,0 days 00:00:03.261910000
1,1865.txt,0 days 00:00:01.644435000
1,2182.txt,0 days 00:00:02.555789000
-1,2047.txt,0 days 00:00:01.652712000
1,1809.txt,0 days 00:00:02.044495000
286,2247.txt,0 days 00:00:04.315262000
1,1870.txt,0 days 00:00:02.693286000
1,1971.txt,0 days 00:00:02.890064000
1,1699.txt,0 days 00:00:02.897696000
1,1922.txt,0 days 00:00:01.971641000
3,2167.txt,0 days 00:00:01.983857000
322,1720.txt,0 days 00:00:03.761523000
14,1802.txt,0 days 00:00:01.618719000
1,1888.txt,0 days 00:00:02.629269000
173,1961.txt,0 days 00:00:02.694910000
1,1503.txt,0 days 00:00:03.186372000
5,1587.txt,0 days 00:00:01.249205000
1,1577.txt,0 days 00:00:01.508650000
28,2066.txt,0 days 00:00:01.666187000
1,2073.txt,0 days 00:00:03.385340000
1,2132.txt,0 days 00:00:05.553712000
1,1655.txt,0 days 00:00:01.287795000
1,2160.txt,0 days 00:00:02.835584000
-1,1530.txt,0 days 00:00:01.738664000
2,1626.txt,0 days 00:00:03.531870000
1,1846.txt,0 days 00:00:02.265790000
1,1589.txt,0 days 00:00:01.481635000
1,1640.txt,0 days 00:00:02.185280000
1,1847.txt,0 days 00:00:01.367991000
1,2060.txt,0 days 00:00:00.997437000
1,2138.txt,0 days 00:00:04.723872000
1,2034.txt,0 days 00:00:02.512685000
1,1926.txt,0 days 00:00:01.969525000
1,1783.txt,0 days 00:00:02.330827000
1,2058.txt,0 days 00:00:01.272234000
1,1965.txt,0 days 00:00:01.294010000
1,2028.txt,0 days 00:00:03.027823000
1,1924.txt,0 days 00:00:02.755225000
1,1601.txt,0 days 00:00:02.598932000
1,2185.txt,0 days 00:00:01.612681000
66,1693.txt,0 days 00:00:03.210970000
1,1868.txt,0 days 00:00:01.981662000
1,2198.txt,0 days 00:00:03.032066000
1,2241.txt,0 days 00:00:02.755945000
1,2163.txt,0 days 00:00:01.294287000
1,2249.txt,0 days 00:00:03.851072000
2,1930.txt,0 days 00:00:02.552020000
1,1885.txt,0 days 00:00:03.163969000
340,1770.txt,0 days 00:00:03.298886000
1,2071.txt,0 days 00:00:03.437083000
51,1874.txt,0 days 00:00:04.363897000
1,1554.txt,0 days 00:00:02.899190000
75,2072.txt,0 days 00:00:02.886119000
1,1652.txt,0 days 00:00:01.818518000
1,1669.txt,0 days 00:00:02.623284000
1,2069.txt,0 days 00:00:02.073184000
1,2152.txt,0 days 00:00:04.350094000
76,1768.txt,0 days 00:00:04.310071000
1,1713.txt,0 days 00:00:04.944030000
1,1593.txt,0 days 00:00:02.522618000
15,2161.txt,0 days 00:00:01.677537000
1,1793.txt,0 days 00:00:02.503168000
1,2118.txt,0 days 00:00:03.166807000
64,1766.txt,0 days 00:00:03.417132000
1,1781.txt,0 days 00:00:01.503682000
1,2162.txt,0 days 00:00:01.542342000
1,2074.txt,0 days 00:00:03.786207000
1,2196.txt,0 days 00:00:03.100702000
1,1864.txt,0 days 00:00:02.517190000
326,2164.txt,0 days 00:00:02.007256000
1,1540.txt,0 days 00:00:02.048587000
2,2140.txt,0 days 00:00:02.479635000
4,1632.txt,0 days 00:00:02.896807000
1,1532.txt,0 days 00:00:01.822507000
329,2062.txt,0 days 00:00:02.079985000
1,1982.txt,0 days 00:00:02.155038000
1,1863.txt,0 days 00:00:02.815290000
1,1877.txt,0 days 00:00:03.973857000
1,2111.txt,0 days 00:00:01.889031000
3,2203.txt,0 days 00:00:01.463164000
7,2168.txt,0 days 00:00:02.853241000
1,1658.txt,0 days 00:00:02.468197000
1,2133.txt,0 days 00:00:04.221992000
1,2044.txt,0 days 00:00:01.858055000
1,1662.txt,0 days 00:00:02.491181000
1,1934.txt,0 days 00:00:03.430939000
179,2228.txt,0 days 00:00:02.874154000
261,1528.txt,0 days 00:00:01.578995000
1,1790.txt,0 days 00:00:01.749052000
1,1555.txt,0 days 00:00:01.880908000
2,1539.txt,0 days 00:00:01.491105000
3,1871.txt,0 days 00:00:04.225189000
1,1801.txt,0 days 00:00:02.388544000
17,1576.txt,0 days 00:00:02.079607000
4,1759.txt,0 days 00:00:02.403178000
1,1511.txt,0 days 00:00:03.509591000
1,1512.txt,0 days 00:00:04.197150000
1,2053.txt,0 days 00:00:01.306404000
1,1836.txt,0 days 00:00:03.136599000
1,1537.txt,0 days 00:00:01.823251000
1,1869.txt,0 days 00:00:01.932045000
17,1806.txt,0 days 00:00:02.807475000
58,1558.txt,0 days 00:00:03.541668000
1,1663.txt,0 days 00:00:02.812378000
34,1527.txt,0 days 00:00:02.235506000
244,1526.txt,0 days 00:00:03.388347000
207,1769.txt,0 days 00:00:04.210027000
