pos_rank,file,time
1,1834.txt,0 days 00:00:04.250868000
1,2224.txt,0 days 00:00:03.348358000
1,2036.txt,0 days 00:00:03.983555000
1,1927.txt,0 days 00:00:03.425880000
14,1873.txt,0 days 00:00:03.820986000
1,1883.txt,0 days 00:00:03.531050000
1,1634.txt,0 days 00:00:03.202971000
1,1941.txt,0 days 00:00:01.834567000
1,1591.txt,0 days 00:00:04.010606000
-1,1972.txt,0 days 00:00:04.168807000
1,1625.txt,0 days 00:00:00.476033000
1,1758.txt,0 days 00:00:01.096128000
1,1670.txt,0 days 00:00:01.982679000
1,1839.txt,0 days 00:00:03.820091000
1,1624.txt,0 days 00:00:02.283162000
1,1603.txt,0 days 00:00:03.804120000
1,1600.txt,0 days 00:00:02.933513000
1,1963.txt,0 days 00:00:02.134324000
1,1986.txt,0 days 00:00:02.997139000
1,1654.txt,0 days 00:00:02.533203000
-1,2250.txt,0 days 00:00:01.427507000
1,1791.txt,0 days 00:00:02.202086000
1,1592.txt,0 days 00:00:02.550793000
1,2093.txt,0 days 00:00:02.747459000
1,1831.txt,0 days 00:00:03.292433000
1,1531.txt,0 days 00:00:03.818228000
1,2226.txt,0 days 00:00:03.446059000
-1,2041.txt,0 days 00:00:02.259852000
1,1966.txt,0 days 00:00:03.142544000
1,1595.txt,0 days 00:00:02.695097000
1,1717.txt,0 days 00:00:03.260109000
1,2076.txt,0 days 00:00:07.776581000
-1,1580.txt,0 days 00:00:01.736959000
1,1551.txt,0 days 00:00:04.245081000
1,1866.txt,0 days 00:00:03.990250000
1,2035.txt,0 days 00:00:02.344404000
1,1840.txt,0 days 00:00:03.314072000
1,1785.txt,0 days 00:00:00.929139000
1,2157.txt,0 days 00:00:05.608119000
1,2082.txt,0 days 00:00:03.042851000
1,1843.txt,0 days 00:00:01.009329000
1,2045.txt,0 days 00:00:01.345312000
1,1988.txt,0 days 00:00:03.673076000
78,1611.txt,0 days 00:00:02.111017000
1,2207.txt,0 days 00:00:02.850590000
1,1506.txt,0 days 00:00:01.242006000
1,1890.txt,0 days 00:00:03.528654000
3,1513.txt,0 days 00:00:03.011905000
1,2186.txt,0 days 00:00:03.726850000
1,1867.txt,0 days 00:00:02.441147000
-1,1709.txt,0 days 00:00:01.331308000
39,1575.txt,0 days 00:00:01.272618000
1,2154.txt,0 days 00:00:04.538318000
1,2055.txt,0 days 00:00:01.474595000
1,1837.txt,0 days 00:00:04.590687000
1,1701.txt,0 days 00:00:03.693889000
1,1797.txt,0 days 00:00:01.369636000
1,1584.txt,0 days 00:00:02.419050000
1,2115.txt,0 days 00:00:03.394057000
1,1946.txt,0 days 00:00:02.472262000
1,2156.txt,0 days 00:00:04.551837000
1,1833.txt,0 days 00:00:03.377568000
3,1536.txt,0 days 00:00:04.022031000
5,1968.txt,0 days 00:00:02.813411000
1,1535.txt,0 days 00:00:01.593408000
