pos_rank,file,time
3,1834.txt,0 days 00:00:01.015243000
19,2224.txt,0 days 00:00:00.842212000
2,2036.txt,0 days 00:00:00.907349000
1,1927.txt,0 days 00:00:00.763084000
19,1873.txt,0 days 00:00:01.053634000
1,1883.txt,0 days 00:00:01.211474000
4,1634.txt,0 days 00:00:00.817286000
1,1941.txt,0 days 00:00:00.680117000
1,1591.txt,0 days 00:00:00.804359000
437,1972.txt,0 days 00:00:01.132932000
10,1625.txt,0 days 00:00:00.720471000
1,1758.txt,0 days 00:00:00.627547000
5,1670.txt,0 days 00:00:00.661102000
1,1839.txt,0 days 00:00:00.975183000
1,1624.txt,0 days 00:00:01.021726000
1,1603.txt,0 days 00:00:01.041811000
1,1600.txt,0 days 00:00:00.619277000
1,1963.txt,0 days 00:00:00.927277000
1,1986.txt,0 days 00:00:00.718256000
7,1654.txt,0 days 00:00:00.548500000
464,2250.txt,0 days 00:00:01.260254000
1,1791.txt,0 days 00:00:00.529413000
1,1592.txt,0 days 00:00:00.695923000
1,2093.txt,0 days 00:00:00.974071000
1,1831.txt,0 days 00:00:00.806382000
1,1531.txt,0 days 00:00:00.739420000
1,2226.txt,0 days 00:00:00.824588000
1,2041.txt,0 days 00:00:00.638032000
67,1966.txt,0 days 00:00:00.828288000
1,1595.txt,0 days 00:00:00.599536000
1,1717.txt,0 days 00:00:01.161492000
1,2076.txt,0 days 00:00:01.402695000
455,1580.txt,0 days 00:00:00.565135000
1,1551.txt,0 days 00:00:01.262667000
1,1866.txt,0 days 00:00:00.923311000
7,2035.txt,0 days 00:00:00.668210000
27,1840.txt,0 days 00:00:00.781443000
3,1785.txt,0 days 00:00:00.300309000
1,2157.txt,0 days 00:00:01.085978000
1,2082.txt,0 days 00:00:00.886886000
1,1843.txt,0 days 00:00:00.379422000
46,2045.txt,0 days 00:00:00.371455000
1,1988.txt,0 days 00:00:00.852389000
471,1611.txt,0 days 00:00:01.085913000
1,2207.txt,0 days 00:00:00.672026000
1,1506.txt,0 days 00:00:00.448775000
1,1890.txt,0 days 00:00:00.853850000
200,1513.txt,0 days 00:00:00.802661000
1,2186.txt,0 days 00:00:00.887400000
1,1867.txt,0 days 00:00:00.666005000
178,1709.txt,0 days 00:00:01.023286000
240,1575.txt,0 days 00:00:00.487539000
1,2154.txt,0 days 00:00:01.306483000
241,2055.txt,0 days 00:00:00.459675000
1,1837.txt,0 days 00:00:01.009963000
1,1701.txt,0 days 00:00:01.006502000
2,1797.txt,0 days 00:00:00.694747000
6,1584.txt,0 days 00:00:00.739093000
1,2115.txt,0 days 00:00:00.658802000
1,1946.txt,0 days 00:00:00.748588000
1,2156.txt,0 days 00:00:00.934109000
1,1833.txt,0 days 00:00:00.874593000
152,1536.txt,0 days 00:00:00.995997000
96,1968.txt,0 days 00:00:00.924778000
1,1535.txt,0 days 00:00:00.746624000
62,1692.txt,0 days 00:00:00.915341000
314,1619.txt,0 days 00:00:01.066917000
1,1796.txt,0 days 00:00:00.831653000
1,2131.txt,0 days 00:00:01.006914000
267,1637.txt,0 days 00:00:00.546804000
1,1504.txt,0 days 00:00:00.999585000
28,1583.txt,0 days 00:00:00.863010000
280,1755.txt,0 days 00:00:00.839318000
1,1628.txt,0 days 00:00:00.867273000
73,1708.txt,0 days 00:00:01.111990000
2,1711.txt,0 days 00:00:01.171554000
1,1590.txt,0 days 00:00:00.327913000
229,2195.txt,0 days 00:00:00.538875000
286,1700.txt,0 days 00:00:00.643442000
157,1762.txt,0 days 00:00:01.215730000
142,2043.txt,0 days 00:00:00.740839000
1,2021.txt,0 days 00:00:00.967506000
-1,2080.txt,0 days 00:00:00.879513000
290,2230.txt,0 days 00:00:00.870140000
25,2075.txt,0 days 00:00:00.964911000
218,1932.txt,0 days 00:00:01.030964000
333,1514.txt,0 days 00:00:00.841422000
4,1714.txt,0 days 00:00:01.063590000
30,2089.txt,0 days 00:00:00.951267000
1,1977.txt,0 days 00:00:00.876433000
49,2048.txt,0 days 00:00:00.525482000
96,1695.txt,0 days 00:00:00.691007000
1,1752.txt,0 days 00:00:00.906344000
50,1616.txt,0 days 00:00:01.086019000
1,2085.txt,0 days 00:00:00.738762000
170,1872.txt,0 days 00:00:01.074357000
1,2210.txt,0 days 00:00:00.546124000
4,1606.txt,0 days 00:00:00.724607000
1,1832.txt,0 days 00:00:01.026715000
11,1697.txt,0 days 00:00:00.748913000
1,2208.txt,0 days 00:00:00.526435000
1,2116.txt,0 days 00:00:00.705458000
1,1849.txt,0 days 00:00:00.417058000
328,1807.txt,0 days 00:00:00.521647000
2,2077.txt,0 days 00:00:01.200459000
233,1635.txt,0 days 00:00:00.552748000
1,1937.txt,0 days 00:00:01.177280000
65,2042.txt,0 days 00:00:00.542146000
1,2032.txt,0 days 00:00:00.964299000
1,1861.txt,0 days 00:00:00.809556000
155,2050.txt,0 days 00:00:00.333530000
1,1876.txt,0 days 00:00:01.278790000
1,2159.txt,0 days 00:00:01.048027000
1,1865.txt,0 days 00:00:00.514136000
1,2182.txt,0 days 00:00:00.791975000
43,2047.txt,0 days 00:00:00.466047000
5,1809.txt,0 days 00:00:00.639073000
424,2247.txt,0 days 00:00:01.341375000
62,1870.txt,0 days 00:00:00.831839000
6,1971.txt,0 days 00:00:01.028592000
1,1699.txt,0 days 00:00:00.818397000
