pos_rank,file,time
1,1834.txt,0 days 00:00:05.837307000
6,2224.txt,0 days 00:00:05.033829000
1,2036.txt,0 days 00:00:04.825325000
1,1927.txt,0 days 00:00:03.982881000
8,1873.txt,0 days 00:00:06.968527000
1,1883.txt,0 days 00:00:06.676410000
1,1634.txt,0 days 00:00:05.576983000
1,1941.txt,0 days 00:00:03.896905000
1,1591.txt,0 days 00:00:04.157376000
274,1972.txt,0 days 00:00:06.123157000
1,1625.txt,0 days 00:00:04.214368000
1,1758.txt,0 days 00:00:04.167965000
1,1670.txt,0 days 00:00:03.551954000
1,1839.txt,0 days 00:00:05.378031000
1,1624.txt,0 days 00:00:05.952472000
1,1603.txt,0 days 00:00:06.407750000
1,1600.txt,0 days 00:00:03.555830000
1,1963.txt,0 days 00:00:05.345127000
1,1986.txt,0 days 00:00:03.629235000
2,1654.txt,0 days 00:00:02.880371000
151,2250.txt,0 days 00:00:07.807370000
1,1791.txt,0 days 00:00:02.742010000
1,1592.txt,0 days 00:00:04.025277000
1,2093.txt,0 days 00:00:05.728620000
1,1831.txt,0 days 00:00:04.145721000
1,1531.txt,0 days 00:00:04.017765000
1,2226.txt,0 days 00:00:04.613515000
79,2041.txt,0 days 00:00:03.928930000
1,1966.txt,0 days 00:00:04.491246000
1,1595.txt,0 days 00:00:03.142655000
1,1717.txt,0 days 00:00:07.659992000
1,2076.txt,0 days 00:00:09.501638000
34,1580.txt,0 days 00:00:02.923330000
1,1551.txt,0 days 00:00:07.074655000
1,1866.txt,0 days 00:00:04.824730000
1,2035.txt,0 days 00:00:03.909429000
1,1840.txt,0 days 00:00:04.286625000
1,1785.txt,0 days 00:00:01.573825000
1,2157.txt,0 days 00:00:06.361693000
1,2082.txt,0 days 00:00:05.428962000
1,1843.txt,0 days 00:00:01.974507000
1,2045.txt,0 days 00:00:01.835628000
1,1988.txt,0 days 00:00:04.432272000
-1,1611.txt,0 days 00:00:07.860011000
1,2207.txt,0 days 00:00:03.594340000
1,1506.txt,0 days 00:00:02.503435000
1,1890.txt,0 days 00:00:05.084323000
1,1513.txt,0 days 00:00:04.549826000
1,2186.txt,0 days 00:00:04.758333000
1,1867.txt,0 days 00:00:03.197500000
28,1709.txt,0 days 00:00:07.190063000
1,1575.txt,0 days 00:00:02.856997000
1,2154.txt,0 days 00:00:07.735818000
2,2055.txt,0 days 00:00:02.427432000
1,1837.txt,0 days 00:00:06.194290000
1,1701.txt,0 days 00:00:05.372327000
1,1797.txt,0 days 00:00:03.913206000
1,1584.txt,0 days 00:00:03.916252000
1,2115.txt,0 days 00:00:03.812351000
1,1946.txt,0 days 00:00:04.123176000
1,2156.txt,0 days 00:00:04.831284000
1,1833.txt,0 days 00:00:04.815333000
7,1536.txt,0 days 00:00:04.889793000
57,1968.txt,0 days 00:00:05.495681000
1,1535.txt,0 days 00:00:03.955684000
-1,1692.txt,0 days 00:00:05.293354000
93,1619.txt,0 days 00:00:07.614325000
1,1796.txt,0 days 00:00:04.439679000
1,2131.txt,0 days 00:00:05.773840000
24,1637.txt,0 days 00:00:03.333327000
1,1504.txt,0 days 00:00:05.775691000
1,1583.txt,0 days 00:00:04.673922000
1,1755.txt,0 days 00:00:05.635984000
1,1628.txt,0 days 00:00:04.457227000
181,1708.txt,0 days 00:00:08.442286000
1,1711.txt,0 days 00:00:07.327515000
1,1590.txt,0 days 00:00:01.659570000
4,2195.txt,0 days 00:00:02.590512000
93,1700.txt,0 days 00:00:03.644618000
202,1762.txt,0 days 00:00:07.408743000
140,2043.txt,0 days 00:00:05.374619000
1,2021.txt,0 days 00:00:05.718566000
-1,2080.txt,0 days 00:00:05.516219000
3,2230.txt,0 days 00:00:05.604628000
5,2075.txt,0 days 00:00:05.475238000
1,1932.txt,0 days 00:00:06.010527000
180,1514.txt,0 days 00:00:06.385825000
1,1714.txt,0 days 00:00:06.505757000
5,2089.txt,0 days 00:00:06.494062000
1,1977.txt,0 days 00:00:05.347054000
1,2048.txt,0 days 00:00:03.049773000
208,1695.txt,0 days 00:00:04.591249000
1,1752.txt,0 days 00:00:05.240204000
141,1616.txt,0 days 00:00:06.859747000
1,2085.txt,0 days 00:00:04.178417000
6,1872.txt,0 days 00:00:06.448127000
1,2210.txt,0 days 00:00:03.022594000
1,1606.txt,0 days 00:00:03.679539000
1,1832.txt,0 days 00:00:06.101779000
5,1697.txt,0 days 00:00:04.276814000
1,2208.txt,0 days 00:00:02.592204000
1,2116.txt,0 days 00:00:03.786742000
1,1849.txt,0 days 00:00:02.227637000
152,1807.txt,0 days 00:00:03.191728000
1,2077.txt,0 days 00:00:08.298853000
-1,1635.txt,0 days 00:00:04.053625000
1,1937.txt,0 days 00:00:06.797860000
167,2042.txt,0 days 00:00:03.292052000
1,2032.txt,0 days 00:00:05.647664000
1,1861.txt,0 days 00:00:04.125333000
49,2050.txt,0 days 00:00:01.651231000
1,1876.txt,0 days 00:00:08.004125000
1,2159.txt,0 days 00:00:05.595603000
1,1865.txt,0 days 00:00:02.763346000
1,2182.txt,0 days 00:00:04.336357000
90,2047.txt,0 days 00:00:02.802957000
1,1809.txt,0 days 00:00:03.738332000
189,2247.txt,0 days 00:00:07.653069000
1,1870.txt,0 days 00:00:04.690015000
1,1971.txt,0 days 00:00:04.980070000
1,1699.txt,0 days 00:00:05.242666000
1,1922.txt,0 days 00:00:03.473909000
2,2167.txt,0 days 00:00:03.608544000
62,1720.txt,0 days 00:00:06.729925000
228,1802.txt,0 days 00:00:02.791554000
1,1888.txt,0 days 00:00:04.529220000
148,1961.txt,0 days 00:00:04.938635000
1,1503.txt,0 days 00:00:05.544292000
1,1587.txt,0 days 00:00:02.095064000
1,1577.txt,0 days 00:00:02.537404000
2,2066.txt,0 days 00:00:02.777164000
1,2073.txt,0 days 00:00:06.011048000
1,2132.txt,0 days 00:00:10.590322000
1,1655.txt,0 days 00:00:02.181599000
1,2160.txt,0 days 00:00:04.664217000
-1,1530.txt,0 days 00:00:02.981098000
2,1626.txt,0 days 00:00:06.337236000
1,1846.txt,0 days 00:00:03.769039000
1,1589.txt,0 days 00:00:02.526863000
1,1640.txt,0 days 00:00:03.838758000
1,1847.txt,0 days 00:00:02.315668000
1,2060.txt,0 days 00:00:01.750112000
1,2138.txt,0 days 00:00:09.120054000
1,2034.txt,0 days 00:00:04.348938000
1,1926.txt,0 days 00:00:03.493551000
1,1783.txt,0 days 00:00:03.974221000
1,2058.txt,0 days 00:00:02.060134000
1,1965.txt,0 days 00:00:02.174060000
1,2028.txt,0 days 00:00:05.214416000
1,1924.txt,0 days 00:00:04.687813000
1,1601.txt,0 days 00:00:04.458193000
1,2185.txt,0 days 00:00:02.768804000
62,1693.txt,0 days 00:00:05.907534000
1,1868.txt,0 days 00:00:03.389238000
1,2198.txt,0 days 00:00:05.181096000
2,2241.txt,0 days 00:00:04.885353000
1,2163.txt,0 days 00:00:02.253694000
1,2249.txt,0 days 00:00:06.959751000
1,1930.txt,0 days 00:00:04.453587000
1,1885.txt,0 days 00:00:05.322307000
