pos_rank,file,time
2,1834.txt,0 days 00:00:00.180062000
2,2224.txt,0 days 00:00:00.094329000
4,2036.txt,0 days 00:00:00.153116000
1,1927.txt,0 days 00:00:00.180786000
135,1873.txt,0 days 00:00:00.066960000
1,1883.txt,0 days 00:00:00.123064000
9,1634.txt,0 days 00:00:00.056085000
3,1941.txt,0 days 00:00:00.052339000
1,1591.txt,0 days 00:00:00.165723000
-1,1972.txt,0 days 00:00:00.121523000
39,1625.txt,0 days 00:00:00.023428000
1,1758.txt,0 days 00:00:00.021248000
1,1670.txt,0 days 00:00:00.049589000
1,1839.txt,0 days 00:00:00.166212000
1,1624.txt,0 days 00:00:00.082381000
1,1603.txt,0 days 00:00:00.111211000
1,1600.txt,0 days 00:00:00.092517000
11,1963.txt,0 days 00:00:00.040410000
1,1986.txt,0 days 00:00:00.138091000
1,1654.txt,0 days 00:00:00.089578000
-1,2250.txt,0 days 00:00:00.040998000
1,1791.txt,0 days 00:00:00.067164000
1,1592.txt,0 days 00:00:00.061392000
1,2093.txt,0 days 00:00:00.068130000
1,1831.txt,0 days 00:00:00.160240000
1,1531.txt,0 days 00:00:00.139960000
1,2226.txt,0 days 00:00:00.104808000
-1,2041.txt,0 days 00:00:00.055225000
1,1966.txt,0 days 00:00:00.058874000
1,1595.txt,0 days 00:00:00.099878000
1,1717.txt,0 days 00:00:00.091903000
3,2076.txt,0 days 00:00:00.204694000
332,1580.txt,0 days 00:00:00.018906000
1,1551.txt,0 days 00:00:00.171679000
1,1866.txt,0 days 00:00:00.175655000
2,2035.txt,0 days 00:00:00.057585000
44,1840.txt,0 days 00:00:00.141351000
2,1785.txt,0 days 00:00:00.036413000
1,2157.txt,0 days 00:00:00.163267000
1,2082.txt,0 days 00:00:00.067131000
1,1843.txt,0 days 00:00:00.021888000
46,2045.txt,0 days 00:00:00.028810000
1,1988.txt,0 days 00:00:00.160831000
-1,1611.txt,0 days 00:00:00.033862000
1,2207.txt,0 days 00:00:00.137125000
1,1506.txt,0 days 00:00:00.031692000
1,1890.txt,0 days 00:00:00.102758000
71,1513.txt,0 days 00:00:00.088376000
1,2186.txt,0 days 00:00:00.132787000
1,1867.txt,0 days 00:00:00.128046000
-1,1709.txt,0 days 00:00:00.006953000
-1,1575.txt,0 days 00:00:00.015560000
1,2154.txt,0 days 00:00:00.132946000
33,2055.txt,0 days 00:00:00.044635000
1,1837.txt,0 days 00:00:00.159875000
1,1701.txt,0 days 00:00:00.119682000
190,1797.txt,0 days 00:00:00.022189000
1,1584.txt,0 days 00:00:00.075908000
