voids,index
4095,0
4095,1
4095,2
4095,3
4095,4
4095,5
4095,6
4095,7
4095,8
4095,9
4095,10
4095,11
4096,12
4096,13
3923,14
2967,15
3926,16
4096,17
4096,18
4096,19
3621,20
2999,21
2984,22
2959,23
3642,24
4096,25
4065,26
2979,27
3005,28
2990,29
2965,30
3081,31
4065,32
4065,33
3018,34
3032,35
3017,36
3004,37
3077,38
4065,39
3033,40
3016,41
3055,42
3088,43
3077,44
3090,45
3046,46
3008,47
3037,48
3107,49
3158,50
3116,51
3098,52
3086,53
3037,54
3017,55
3085,56
3157,57
3143,58
3123,59
3079,60
3018,61
3023,62
3036,63
3095,64
3068,65
3084,66
3071,67
4065,68
3005,69
2999,70
3038,71
3001,72
3062,73
4065,74
4065,75
2959,76
2959,77
2967,78
2955,79
3003,80
4065,81
4096,82
3626,83
2942,84
2939,85
2943,86
3626,87
4096,88
4096,89
4096,90
3919,91
2891,92
3923,93
4096,94
4096,95
