voids,index
4095,0
4095,1
4095,2
4095,3
4095,4
4095,5
4095,6
4095,7
4095,8
4095,9
4095,10
4095,11
4096,12
4096,13
3954,14
3411,15
3953,16
4096,17
4096,18
4096,19
3758,20
3424,21
3431,22
3426,23
3785,24
4096,25
4065,26
3439,27
3451,28
3463,29
3423,30
3495,31
4065,32
4065,33
3472,34
3506,35
3529,36
3484,37
3520,38
4065,39
3442,40
3491,41
3545,42
3606,43
3546,44
3544,45
3479,46
3437,47
3453,48
3584,49
3665,50
3594,51
3560,52
3465,53
3442,54
3452,55
3572,56
3641,57
3613,58
3546,59
3485,60
3455,61
3432,62
3490,63
3538,64
3503,65
3491,66
3461,67
4065,68
3417,69
3450,70
3445,71
3432,72
3451,73
4066,74
4065,75
3393,76
3385,77
3399,78
3381,79
3438,80
4065,81
4096,82
3738,83
3350,84
3338,85
3344,86
3746,87
4096,88
4096,89
4096,90
3945,91
3339,92
3941,93
4096,94
4096,95
