voids,index
4095,0
4095,1
4095,2
4095,3
4095,4
4095,5
4095,6
4095,7
4095,8
4095,9
4095,10
4095,11
4096,12
4096,13
3952,14
3373,15
3951,16
4096,17
4096,18
4096,19
3751,20
3396,21
3409,22
3405,23
3778,24
4096,25
4065,26
3408,27
3427,28
3452,29
3408,30
3472,31
4065,32
4065,33
3457,34
3485,35
3505,36
3460,37
3506,38
4065,39
3417,40
3463,41
3526,42
3582,43
3524,44
3513,45
3455,46
3411,47
3430,48
3560,49
3629,50
3579,51
3531,52
3444,53
3420,54
3432,55
3548,56
3616,57
3598,58
3526,59
3462,60
3423,61
3416,62
3456,63
3528,64
3484,65
3468,66
3444,67
4065,68
3398,69
3437,70
3428,71
3411,72
3426,73
4066,74
4065,75
3374,76
3364,77
3371,78
3364,79
3413,80
4065,81
4096,82
3734,83
3325,84
3318,85
3320,86
3740,87
4096,88
4096,89
4096,90
3943,91
3316,92
3942,93
4096,94
4096,95
