voids,index
4095,0
4095,1
4095,2
4095,3
4095,4
4095,5
4095,6
4095,7
4095,8
4095,9
4095,10
4095,11
4096,12
4096,13
3940,14
3210,15
3937,16
4096,17
4096,18
4096,19
3686,20
3228,21
3212,22
3202,23
3710,24
4096,25
4065,26
3211,27
3247,28
3239,29
3197,30
3294,31
4065,32
4065,33
3275,34
3270,35
3223,36
3230,37
3319,38
4065,39
3244,40
3263,41
3300,42
3307,43
3294,44
3325,45
3270,46
3247,47
3253,48
3329,49
3373,50
3317,51
3341,52
3273,53
3245,54
3237,55
3300,56
3358,57
3345,58
3321,59
3279,60
3259,61
3216,62
3271,63
3284,64
3275,65
3298,66
3286,67
4065,68
3223,69
3242,70
3236,71
3211,72
3268,73
4066,74
4065,75
3207,76
3169,77
3173,78
3167,79
3262,80
4065,81
4096,82
3681,83
3179,84
3134,85
3165,86
3699,87
4096,88
4096,89
4096,90
3932,91
3115,92
3932,93
4096,94
4096,95
