voids,index
255,0
255,1
255,2
255,3
255,4
255,5
255,6
255,7
255,8
255,9
255,10
255,11
255,12
255,13
255,14
255,15
255,16
255,17
255,18
255,19
255,20
255,21
255,22
255,23
255,24
255,25
255,26
255,27
255,28
255,29
255,30
255,31
255,32
255,33
255,34
255,35
255,36
255,37
256,38
255,39
256,40
256,41
256,42
256,43
194,44
61,45
60,46
67,47
256,48
256,49
256,50
256,51
256,52
256,53
194,54
68,55
67,56
70,57
66,58
60,59
241,60
256,61
256,62
256,63
255,64
63,65
66,66
64,67
71,68
60,69
70,70
62,71
249,72
256,73
256,74
241,75
67,76
69,77
71,78
73,79
84,80
65,81
71,82
73,83
253,84
256,85
140,86
73,87
71,88
80,89
78,90
64,91
75,92
76,93
68,94
67,95
255,96
225,97
76,98
75,99
95,100
83,101
91,102
82,103
82,104
81,105
65,106
249,107
63,108
72,109
89,110
78,111
95,112
102,113
92,114
105,115
84,116
75,117
63,118
52,119
78,120
68,121
95,122
98,123
102,124
119,125
88,126
93,127
77,128
57,129
63,130
69,131
84,132
98,133
87,134
126,135
109,136
120,137
95,138
71,139
76,140
56,141
67,142
71,143
77,144
109,145
95,146
118,147
117,148
90,149
97,150
74,151
70,152
64,153
63,154
84,155
85,156
109,157
111,158
87,159
104,160
73,161
74,162
59,163
49,164
70,165
68,166
79,167
100,168
78,169
100,170
82,171
77,172
71,173
59,174
241,175
139,176
68,177
81,178
67,179
90,180
82,181
85,182
80,183
62,184
66,185
255,186
225,187
67,188
66,189
79,190
63,191
68,192
69,193
56,194
72,195
63,196
249,197
256,198
194,199
65,200
62,201
76,202
72,203
57,204
69,205
68,206
58,207
256,208
256,209
256,210
140,211
59,212
59,213
53,214
66,215
49,216
63,217
225,218
256,219
256,220
256,221
256,222
60,223
55,224
60,225
54,226
56,227
52,228
253,229
256,230
256,231
256,232
256,233
256,234
241,235
49,236
46,237
49,238
253,239
256,240
256,241
256,242
