voids,index
255,0
255,1
255,2
255,3
255,4
255,5
255,6
255,7
255,8
255,9
255,10
255,11
255,12
255,13
255,14
255,15
255,16
255,17
256,18
256,19
256,20
241,21
68,22
95,23
113,24
256,25
256,26
256,27
256,28
256,29
207,30
120,31
112,32
84,33
65,34
62,35
72,36
253,37
256,38
255,39
78,40
75,41
67,42
86,43
109,44
116,45
122,46
88,47
225,48
256,49
225,50
118,51
127,52
135,53
99,54
78,55
84,56
91,57
108,58
255,59
111,60
77,61
97,62
94,63
112,64
138,65
140,66
142,67
99,68
72,69
84,70
78,71
106,72
148,73
149,74
131,75
132,76
114,77
105,78
113,79
117,80
122,81
79,82
89,83
99,84
130,85
142,86
159,87
137,88
96,89
71,90
84,91
81,92
107,93
136,94
134,95
102,96
102,97
87,98
95,99
112,100
114,101
255,102
78,103
81,104
80,105
78,106
115,107
124,108
126,109
81,110
226,111
256,112
225,113
99,114
118,115
121,116
78,117
71,118
57,119
80,120
98,121
255,122
256,123
253,124
62,125
60,126
64,127
84,128
110,129
100,130
198,131
256,132
256,133
256,134
256,135
256,136
105,137
64,138
51,139
241,140
256,141
256,142
256,143
