voids,index
4095,0
4095,1
4095,2
4095,3
4095,4
4095,5
4095,6
4095,7
4095,8
4095,9
4095,10
4095,11
4095,12
4095,13
4095,14
4095,15
4095,16
4095,17
4095,18
4095,19
4095,20
4095,21
4095,22
4095,23
4095,24
4095,25
4095,26
4096,27
4096,28
4033,29
3116,30
3090,31
4096,32
4096,33
4096,34
4096,35
3597,36
3125,37
3129,38
3088,39
4081,40
4096,41
4096,42
3760,43
3116,44
3135,45
3122,46
3147,47
4089,48
4096,49
3891,50
3144,51
3133,52
3164,53
3124,54
3154,55
4093,56
3976,57
3163,58
3134,59
3150,60
3152,61
3163,62
3159,63
4093,64
3155,65
3196,66
3170,67
3184,68
3172,69
3199,70
3978,71
3138,72
3202,73
3156,74
3249,75
3203,76
3211,77
3184,78
2904,79
3167,80
3216,81
3245,82
3296,83
3203,84
3193,85
3135,86
3123,87
3172,88
3227,89
3318,90
3280,91
3204,92
3134,93
2859,94
3140,95
3189,96
3267,97
3284,98
3229,99
3197,100
3103,101
3123,102
3172,103
3185,104
3273,105
3238,106
3193,107
3150,108
2870,109
3150,110
3137,111
3147,112
3221,113
3152,114
3144,115
3106,116
3976,117
3156,118
3136,119
3198,120
3114,121
3142,122
3130,123
4093,124
3136,125
3112,126
3057,127
3111,128
3088,129
3110,130
3977,131
4093,132
3112,133
3088,134
3109,135
3066,136
3094,137
3883,138
4096,139
4089,140
3068,141
3043,142
3072,143
3061,144
3750,145
4096,146
4096,147
4081,148
3034,149
3064,150
3003,151
3568,152
4096,153
4096,154
4096,155
4096,156
3010,157
3029,158
4033,159
4096,160
4096,161
