voids,index
255,0
255,1
255,2
255,3
255,4
255,5
255,6
255,7
255,8
255,9
255,10
255,11
255,12
255,13
255,14
255,15
255,16
255,17
256,18
256,19
256,20
241,21
66,22
92,23
111,24
256,25
256,26
256,27
256,28
256,29
206,30
113,31
110,32
81,33
63,34
60,35
69,36
253,37
256,38
255,39
76,40
72,41
62,42
84,43
108,44
113,45
121,46
84,47
225,48
256,49
225,50
114,51
125,52
129,53
97,54
77,55
80,56
88,57
104,58
255,59
109,60
74,61
89,62
88,63
106,64
132,65
138,66
139,67
94,68
68,69
80,70
72,71
104,72
147,73
146,74
126,75
126,76
111,77
97,78
110,79
115,80
120,81
75,82
86,83
95,84
121,85
137,86
157,87
134,88
91,89
66,90
80,91
76,92
103,93
134,94
131,95
100,96
98,97
83,98
90,99
110,100
114,101
255,102
72,103
77,104
79,105
78,106
113,107
120,108
125,109
79,110
226,111
256,112
225,113
97,114
114,115
120,116
79,117
66,118
56,119
77,120
96,121
255,122
256,123
253,124
60,125
55,126
62,127
81,128
106,129
99,130
198,131
256,132
256,133
256,134
256,135
256,136
103,137
61,138
49,139
241,140
256,141
256,142
256,143
